Khu vực,Năm,Dân số
Hà Nội,2019,8094
Hà Nội,2020,8247
Hà Nội,2021,8331
Hà Nội,2022,8436
Hà Nội,2023,8587
Hà Nội,2024,8718
Vĩnh Phúc,2019,1155
Vĩnh Phúc,2020,1171
Vĩnh Phúc,2021,1192
Vĩnh Phúc,2022,1198
Vĩnh Phúc,2023,1211
Vĩnh Phúc,2024,1225
Bắc Ninh,2019,1379
Bắc Ninh,2020,1419
Bắc Ninh,2021,1463
Bắc Ninh,2022,1488
Bắc Ninh,2023,1517
Bắc Ninh,2024,1547
Quảng Ninh,2019,1325
Quảng Ninh,2020,1338
Quảng Ninh,2021,1351
Quảng Ninh,2022,1363
Quảng Ninh,2023,1381
Quảng Ninh,2024,1397
Hải Dương,2019,1897
Hải Dương,2020,1917
Hải Dương,2021,1937
Hải Dương,2022,1947
Hải Dương,2023,1957
Hải Dương,2024,1978
Hải Phòng,2019,2033
Hải Phòng,2020,2053
Hải Phòng,2021,2072
Hải Phòng,2022,2088
Hải Phòng,2023,2105
Hải Phòng,2024,2125
Hưng Yên,2019,1256
Hưng Yên,2020,1269
Hưng Yên,2021,1285
Hưng Yên,2022,1291
Hưng Yên,2023,1301
Hưng Yên,2024,1318
Thái Bình,2019,1862
Thái Bình,2020,1870
Thái Bình,2021,1874
Thái Bình,2022,1879
Thái Bình,2023,1882
Thái Bình,2024,1890
Hà Nam,2019,854
Hà Nam,2020,862
Hà Nam,2021,875
Hà Nam,2022,878
Hà Nam,2023,886
Hà Nam,2024,894
Nam Ðịnh,2019,1781
Nam Ðịnh,2020,1780
Nam Ðịnh,2021,1836
Nam Ðịnh,2022,1877
Nam Ðịnh,2023,1887
Nam Ðịnh,2024,1894
Ninh Bình,2019,984
Ninh Bình,2020,994
Ninh Bình,2021,1008
Ninh Bình,2022,1011
Ninh Bình,2023,1017
Ninh Bình,2024,1030
Hà Giang,2019,858
Hà Giang,2020,870
Hà Giang,2021,887
Hà Giang,2022,893
Hà Giang,2023,900
Hà Giang,2024,911
Cao Bằng,2019,531
Cao Bằng,2020,533
Cao Bằng,2021,542
Cao Bằng,2022,543
Cao Bằng,2023,548
Cao Bằng,2024,558
Bắc Kạn,2019,314
Bắc Kạn,2020,316
Bắc Kạn,2021,324
Bắc Kạn,2022,324
Bắc Kạn,2023,326
Bắc Kạn,2024,329
Tuyên Quang,2019,786
Tuyên Quang,2020,793
Tuyên Quang,2021,802
Tuyên Quang,2022,806
Tuyên Quang,2023,812
Tuyên Quang,2024,820
Lào Cai,2019,733
Lào Cai,2020,746
Lào Cai,2021,762
Lào Cai,2022,771
Lào Cai,2023,780
Lào Cai,2024,792
Yên Bái,2019,823
Yên Bái,2020,832
Yên Bái,2021,843
Yên Bái,2022,847
Yên Bái,2023,856
Yên Bái,2024,864
Thái Nguyên,2019,1291
Thái Nguyên,2020,1308
Thái Nguyên,2021,1323
Thái Nguyên,2022,1336
Thái Nguyên,2023,1350
Thái Nguyên,2024,1365
