Khu vực,Năm,Giới tính,Dân số
Hà Nội,2019,Nam,4013
Hà Nội,2020,Nam,4083
Hà Nội,2021,Nam,4132
Hà Nội,2022,Nam,4167
Hà Nội,2023,Nam,4264
Hà Nội,2024,Nam,4336
Hà Nội,2019,Nữ,4081
Hà Nội,2020,Nữ,4163
Hà Nội,2021,Nữ,4199
Hà Nội,2022,Nữ,4268
Hà Nội,2023,Nữ,4323
Hà Nội,2024,Nữ,4381
Vĩnh Phúc,2019,Nam,576
Vĩnh Phúc,2020,Nam,584
Vĩnh Phúc,2021,Nam,594
Vĩnh Phúc,2022,Nam,598
Vĩnh Phúc,2023,Nam,605
Vĩnh Phúc,2024,Nam,612
Vĩnh Phúc,2019,Nữ,579
Vĩnh Phúc,2020,Nữ,588
Vĩnh Phúc,2021,Nữ,598
Vĩnh Phúc,2022,Nữ,600
Vĩnh Phúc,2023,Nữ,607
Vĩnh Phúc,2024,Nữ,614
Bắc Ninh,2019,Nam,681
Bắc Ninh,2020,Nam,699
Bắc Ninh,2021,Nam,725
Bắc Ninh,2022,Nam,732
Bắc Ninh,2023,Nam,745
Bắc Ninh,2024,Nam,759
Bắc Ninh,2019,Nữ,698
Bắc Ninh,2020,Nữ,720
Bắc Ninh,2021,Nữ,738
Bắc Ninh,2022,Nữ,756
Bắc Ninh,2023,Nữ,773
Bắc Ninh,2024,Nữ,787
Quảng Ninh,2019,Nam,674
Quảng Ninh,2020,Nam,680
Quảng Ninh,2021,Nam,682
Quảng Ninh,2022,Nam,690
Quảng Ninh,2023,Nam,699
Quảng Ninh,2024,Nam,706
Quảng Ninh,2019,Nữ,651
Quảng Ninh,2020,Nữ,658
Quảng Ninh,2021,Nữ,669
Quảng Ninh,2022,Nữ,673
Quảng Ninh,2023,Nữ,683
Quảng Ninh,2024,Nữ,691
Hải Dương,2019,Nam,943
Hải Dương,2020,Nam,956
Hải Dương,2021,Nam,966
Hải Dương,2022,Nam,976
Hải Dương,2023,Nam,981
Hải Dương,2024,Nam,991
Hải Dương,2019,Nữ,954
Hải Dương,2020,Nữ,960
Hải Dương,2021,Nữ,970
Hải Dương,2022,Nữ,971
Hải Dương,2023,Nữ,976
Hải Dương,2024,Nữ,987
Hải Phòng,2019,Nam,1010
Hải Phòng,2020,Nam,1016
Hải Phòng,2021,Nam,1025
Hải Phòng,2022,Nam,1035
Hải Phòng,2023,Nam,1044
Hải Phòng,2024,Nam,1054
Hải Phòng,2019,Nữ,1023
Hải Phòng,2020,Nữ,1038
Hải Phòng,2021,Nữ,1047
Hải Phòng,2022,Nữ,1053
Hải Phòng,2023,Nữ,1061
Hải Phòng,2024,Nữ,1071
Hưng Yên,2019,Nam,629
Hưng Yên,2020,Nam,636
Hưng Yên,2021,Nam,644
Hưng Yên,2022,Nam,648
