Khu vực,Năm,Loại khu vực,Dân số
Hà Nội,2019,Thành thị,4000
Hà Nội,2020,Thành thị,4061
Hà Nội,2021,Thành thị,4095
Hà Nội,2022,Thành thị,4139
Hà Nội,2023,Thành thị,4213
Hà Nội,2024,Thành thị,4281
Hà Nội,2019,Nông thôn,4094
Hà Nội,2020,Nông thôn,4185
Hà Nội,2021,Nông thôn,4235
Hà Nội,2022,Nông thôn,4297
Hà Nội,2023,Nông thôn,4374
Hà Nội,2024,Nông thôn,4437
Vĩnh Phúc,2019,Thành thị,295
Vĩnh Phúc,2020,Thành thị,351
Vĩnh Phúc,2021,Thành thị,358
Vĩnh Phúc,2022,Thành thị,366
Vĩnh Phúc,2023,Thành thị,411
Vĩnh Phúc,2024,Thành thị,417
Vĩnh Phúc,2019,Nông thôn,860
Vĩnh Phúc,2020,Nông thôn,820
Vĩnh Phúc,2021,Nông thôn,833
Vĩnh Phúc,2022,Nông thôn,831
Vĩnh Phúc,2023,Nông thôn,800
Vĩnh Phúc,2024,Nông thôn,809
Bắc Ninh,2019,Thành thị,381
Bắc Ninh,2020,Thành thị,447
Bắc Ninh,2021,Thành thị,536
Bắc Ninh,2022,Thành thị,555
Bắc Ninh,2023,Thành thị,771
Bắc Ninh,2024,Thành thị,788
Bắc Ninh,2019,Nông thôn,998
Bắc Ninh,2020,Nông thôn,973
Bắc Ninh,2021,Nông thôn,927
Bắc Ninh,2022,Nông thôn,934
Bắc Ninh,2023,Nông thôn,747
Bắc Ninh,2024,Nông thôn,759
Quảng Ninh,2019,Thành thị,854
Quảng Ninh,2020,Thành thị,901
Quảng Ninh,2021,Thành thị,910
Quảng Ninh,2022,Thành thị,918
Quảng Ninh,2023,Thành thị,930
Quảng Ninh,2024,Thành thị,968
Quảng Ninh,2019,Nông thôn,471
Quảng Ninh,2020,Nông thôn,436
Quảng Ninh,2021,Nông thôn,441
Quảng Ninh,2022,Nông thôn,445
Quảng Ninh,2023,Nông thôn,451
Quảng Ninh,2024,Nông thôn,428
Hải Dương,2019,Thành thị,594
Hải Dương,2020,Thành thị,603
Hải Dương,2021,Thành thị,613
Hải Dương,2022,Thành thị,618
Hải Dương,2023,Thành thị,620
Hải Dương,2024,Thành thị,631
