Khu vực,Năm,Vùng
Hà Nội,2019,Đồng bằng sông Hồng
Vĩnh Phúc,2019,Đồng bằng sông Hồng
Bắc Ninh,2019,Đồng bằng sông Hồng
Quảng Ninh,2019,Đồng bằng sông Hồng
Hải Dương,2019,Đồng bằng sông Hồng
Hải Phòng,2019,Đồng bằng sông Hồng
Hưng Yên,2019,Đồng bằng sông Hồng
Thái Bình,2019,Đồng bằng sông Hồng
Hà Nam,2019,Đồng bằng sông Hồng
Nam Định,2019,Đồng bằng sông Hồng
Ninh Bình,2019,Đồng bằng sông Hồng
Hà Giang,2019,Trung du và miền núi phía Bắc
Cao Bằng,2019,Trung du và miền núi phía Bắc
Bắc Kạn,2019,Trung du và miền núi phía Bắc
Tuyên Quang,2019,Trung du và miền núi phía Bắc
Lào Cai,2019,Trung du và miền núi phía Bắc
Yên Bái,2019,Trung du và miền núi phía Bắc
Thái Nguyên,2019,Trung du và miền núi phía Bắc
Lạng Sơn,2019,Trung du và miền núi phía Bắc
Bắc Giang,2019,Trung du và miền núi phía Bắc
Phú Thọ,2019,Trung du và miền núi phía Bắc
Điện Biên,2019,Trung du và miền núi phía Bắc
Lai Châu,2019,Trung du và miền núi phía Bắc
Sơn La,2019,Trung du và miền núi phía Bắc
Hòa Bình,2019,Trung du và miền núi phía Bắc
Thanh Hóa,2019,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,2019,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,2019,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,2019,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,2019,Bắc Trung Bộ và Duyên hải miền Trung
Huế,2019,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,2019,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,2019,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,2019,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,2019,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,2019,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,2019,Bắc Trung Bộ và Duyên hải miền Trung
Ninh Thuận,2019,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,2019,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,2019,Tây Nguyên
Gia Lai,2019,Tây Nguyên
Đắk Lắk,2019,Tây Nguyên
Đắk Nông,2019,Tây Nguyên
Lâm Đồng,2019,Tây Nguyên
Bình Phước,2019,Đông Nam Bộ
Tây Ninh,2019,Đông Nam Bộ
Bình Dương,2019,Đông Nam Bộ
Đồng Nai,2019,Đông Nam Bộ
Bà Rịa - Vũng Tàu,2019,Đông Nam Bộ
TP.Hồ Chí Minh,2019,Đông Nam Bộ
Long An,2019,Đồng bằng sông Cửu Long
Tiền Giang,2019,Đồng bằng sông Cửu Long
Bến Tre,2019,Đồng bằng sông Cửu Long
Trà Vinh,2019,Đồng bằng sông Cửu Long
Vĩnh Long,2019,Đồng bằng sông Cửu Long
Đồng Tháp,2019,Đồng bằng sông Cửu Long
An Giang,2019,Đồng bằng sông Cửu Long
Kiên Giang,2019,Đồng bằng sông Cửu Long
Cần Thơ,2019,Đồng bằng sông Cửu Long
Hậu Giang,2019,Đồng bằng sông Cửu Long
Sóc Trăng,2019,Đồng bằng sông Cửu Long
Bạc Liêu,2019,Đồng bằng sông Cửu Long
Cà Mau,2019,Đồng bằng sông Cửu Long
Hà Nội,2020,Đồng bằng sông Hồng
Vĩnh Phúc,2020,Đồng bằng sông Hồng
Bắc Ninh,2020,Đồng bằng sông Hồng
Quảng Ninh,2020,Đồng bằng sông Hồng
Hải Dương,2020,Đồng bằng sông Hồng
Hải Phòng,2020,Đồng bằng sông Hồng
Hưng Yên,2020,Đồng bằng sông Hồng
Thái Bình,2020,Đồng bằng sông Hồng
Hà Nam,2020,Đồng bằng sông Hồng
Nam Định,2020,Đồng bằng sông Hồng
Ninh Bình,2020,Đồng bằng sông Hồng
Hà Giang,2020,Trung du và miền núi phía Bắc
Cao Bằng,2020,Trung du và miền núi phía Bắc
Bắc Kạn,2020,Trung du và miền núi phía Bắc
Tuyên Quang,2020,Trung du và miền núi phía Bắc
Lào Cai,2020,Trung du và miền núi phía Bắc
Yên Bái,2020,Trung du và miền núi phía Bắc
Thái Nguyên,2020,Trung du và miền núi phía Bắc
Lạng Sơn,2020,Trung du và miền núi phía Bắc
Bắc Giang,2020,Trung du và miền núi phía Bắc
Phú Thọ,2020,Trung du và miền núi phía Bắc
Điện Biên,2020,Trung du và miền núi phía Bắc
Lai Châu,2020,Trung du và miền núi phía Bắc
Sơn La,2020,Trung du và miền núi phía Bắc
Hòa Bình,2020,Trung du và miền núi phía Bắc
Thanh Hóa,2020,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,2020,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,2020,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,2020,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,2020,Bắc Trung Bộ và Duyên hải miền Trung
Huế,2020,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,2020,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,2020,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,2020,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,2020,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,2020,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,2020,Bắc Trung Bộ và Duyên hải miền Trung
