Khu vực,Năm,Lao động có việc làm
Hà Nội,2019,4049
Hà Nội,2020,4043
Hà Nội,2021,3840
Hà Nội,2022,3929
Hà Nội,2023,4029
Hà Nội,2024,4109
Vĩnh Phúc,2019,637
Vĩnh Phúc,2020,622
Vĩnh Phúc,2021,570
Vĩnh Phúc,2022,584
Vĩnh Phúc,2023,597
Vĩnh Phúc,2024,604
Bắc Ninh,2019,759
Bắc Ninh,2020,759
Bắc Ninh,2021,746
Bắc Ninh,2022,769
Bắc Ninh,2023,772
Bắc Ninh,2024,782
Quảng Ninh,2019,716
Quảng Ninh,2020,674
Quảng Ninh,2021,654
Quảng Ninh,2022,664
Quảng Ninh,2023,671
Quảng Ninh,2024,678
Hải Dương,2019,1054
Hải Dương,2020,1000
Hải Dương,2021,930
Hải Dương,2022,940
Hải Dương,2023,936
Hải Dương,2024,936
Hải Phòng,2019,1091
Hải Phòng,2020,1055
Hải Phòng,2021,1011
Hải Phòng,2022,1016
Hải Phòng,2023,1020
Hải Phòng,2024,1024
Hưng Yên,2019,714
Hưng Yên,2020,705
Hưng Yên,2021,669
Hưng Yên,2022,672
Hưng Yên,2023,681
Hưng Yên,2024,683
Thái Bình,2019,1121
Thái Bình,2020,1074
Thái Bình,2021,943
Thái Bình,2022,973
Thái Bình,2023,979
Thái Bình,2024,986
Hà Nam,2019,479
Hà Nam,2020,460
Hà Nam,2021,432
Hà Nam,2022,453
Hà Nam,2023,456
Hà Nam,2024,462
Nam Định,2019,1039
Nam Định,2020,1011
Nam Định,2021,934
Nam Định,2022,952
Nam Định,2023,955
Nam Định,2024,958
Ninh Bình,2019,579
Ninh Bình,2020,557
Ninh Bình,2021,482
Ninh Bình,2022,484
Ninh Bình,2023,487
Ninh Bình,2024,493
Hà Giang,2019,528
Hà Giang,2020,524
Hà Giang,2021,351
Hà Giang,2022,361
Hà Giang,2023,366
Hà Giang,2024,373
Cao Bằng,2019,346
Cao Bằng,2020,346
Cao Bằng,2021,157
Cao Bằng,2022,202
Cao Bằng,2023,220
Cao Bằng,2024,228
Bắc Kạn,2019,209
Bắc Kạn,2020,204
Bắc Kạn,2021,140
Bắc Kạn,2022,147
Bắc Kạn,2023,149
Bắc Kạn,2024,153
Tuyên Quang,2019,484
Tuyên Quang,2020,474
Tuyên Quang,2021,367
Tuyên Quang,2022,368
Tuyên Quang,2023,369
Tuyên Quang,2024,373
Lào Cai,2019,428
Lào Cai,2020,426
Lào Cai,2021,376
Lào Cai,2022,391
Lào Cai,2023,392
Lào Cai,2024,393
Yên Bái,2019,508
Yên Bái,2020,518
Yên Bái,2021,361
Yên Bái,2022,362
Yên Bái,2023,362
Yên Bái,2024,366
Thái Nguyên,2019,766
Thái Nguyên,2020,758
Thái Nguyên,2021,590
Thái Nguyên,2022,603
Thái Nguyên,2023,606
Thái Nguyên,2024,612
Lạng Sơn,2019,487
Lạng Sơn,2020,480
Lạng Sơn,2021,300
Lạng Sơn,2022,306
Lạng Sơn,2023,315
Lạng Sơn,2024,321
Bắc Giang,2019,1100
Bắc Giang,2020,1095
Bắc Giang,2021,945
Bắc Giang,2022,980
Bắc Giang,2023,999
Bắc Giang,2024,1018
Phú Thọ,2019,840
Phú Thọ,2020,836
Phú Thọ,2021,673
Phú Thọ,2022,707
Phú Thọ,2023,714
Phú Thọ,2024,717
Điện Biên,2019,350
Điện Biên,2020,352
Điện Biên,2021,300
Điện Biên,2022,330
Điện Biên,2023,339
Điện Biên,2024,347
Lai Châu,2019,282
Lai Châu,2020,283
Lai Châu,2021,165
Lai Châu,2022,206
Lai Châu,2023,216
Lai Châu,2024,231
Sơn La,2019,766
Sơn La,2020,766
Sơn La,2021,550
Sơn La,2022,586
Sơn La,2023,599
Sơn La,2024,603
Hòa Bình,2019,553
Hòa Bình,2020,529
Hòa Bình,2021,464
Hòa Bình,2022,497
Hòa Bình,2023,500
Hòa Bình,2024,509
Thanh Hóa,2019,2267
Thanh Hóa,2020,2190
Thanh Hóa,2021,1948
Thanh Hóa,2022,1955
Thanh Hóa,2023,1957
Thanh Hóa,2024,1958
Nghệ An,2019,1904
Nghệ An,2020,1906
Nghệ An,2021,1591
Nghệ An,2022,1597
Nghệ An,2023,1597
Nghệ An,2024,1601
Hà Tĩnh,2019,687
Hà Tĩnh,2020,654
Hà Tĩnh,2021,490
Hà Tĩnh,2022,503
Hà Tĩnh,2023,502
Hà Tĩnh,2024,507
Quảng Bình,2019,511
Quảng Bình,2020,490
Quảng Bình,2021,419
Quảng Bình,2022,422
Quảng Bình,2023,423
Quảng Bình,2024,424
Quảng Trị,2019,340
Quảng Trị,2020,336
Quảng Trị,2021,321
Quảng Trị,2022,326
Quảng Trị,2023,327
Quảng Trị,2024,330
Huế,2019,597
Huế,2020,561
Huế,2021,560
Huế,2022,579
Huế,2023,588
Huế,2024,599
Đà Nẵng,2019,586
Đà Nẵng,2020,534
Đà Nẵng,2021,535
Đà Nẵng,2022,627
Đà Nẵng,2023,633
Đà Nẵng,2024,643
Quảng Nam,2019,872
Quảng Nam,2020,860
Quảng Nam,2021,790
Quảng Nam,2022,809
Quảng Nam,2023,809
Quảng Nam,2024,815
Quảng Ngãi,2019,725
Quảng Ngãi,2020,711
Quảng Ngãi,2021,658
Quảng Ngãi,2022,664
Quảng Ngãi,2023,667
Quảng Ngãi,2024,668
Bình Định,2019,865
Bình Định,2020,843
Bình Định,2021,814
Bình Định,2022,826
Bình Định,2023,833
Bình Định,2024,837
Phú Yên,2019,510
Phú Yên,2020,498
Phú Yên,2021,451
Phú Yên,2022,456
Phú Yên,2023,462
Phú Yên,2024,466
Khánh Hòa,2019,672
Khánh Hòa,2020,643
Khánh Hòa,2021,592
Khánh Hòa,2022,651
Khánh Hòa,2023,668
Khánh Hòa,2024,681
Ninh Thuận,2019,329
Ninh Thuận,2020,318
Ninh Thuận,2021,315
Ninh Thuận,2022,327
Ninh Thuận,2023,327
Ninh Thuận,2024,330
Bình Thuận,2019,707
Bình Thuận,2020,694
Bình Thuận,2021,670
Bình Thuận,2022,674
Bình Thuận,2023,685
Bình Thuận,2024,692
Kon Tum,2019,313
Kon Tum,2020,310
Kon Tum,2021,314
Kon Tum,2022,326
Kon Tum,2023,336
Kon Tum,2024,345
Gia Lai,2019,899
Gia Lai,2020,884
Gia Lai,2021,909
Gia Lai,2022,925
Gia Lai,2023,945
Gia Lai,2024,955
Đắk Lắk,2019,1095
Đắk Lắk,2020,1080
Đắk Lắk,2021,1111
Đắk Lắk,2022,1133
Đắk Lắk,2023,1133
Đắk Lắk,2024,1138
Đắk Nông,2019,370
Đắk Nông,2020,367
Đắk Nông,2021,387
Đắk Nông,2022,389
Đắk Nông,2023,392
Đắk Nông,2024,397
Lâm Đồng,2019,764
Lâm Đồng,2020,763
Lâm Đồng,2021,769
Lâm Đồng,2022,793
Lâm Đồng,2023,796
Lâm Đồng,2024,797
Bình Phước,2019,588
Bình Phước,2020,588
Bình Phước,2021,583
Bình Phước,2022,592
Bình Phước,2023,587
Bình Phước,2024,590
Tây Ninh,2019,696
Tây Ninh,2020,681
Tây Ninh,2021,639
Tây Ninh,2022,660
Tây Ninh,2023,669
