Khu vực,Năm,Lực lượng lao động
Hà Nội,2019,4118
Hà Nội,2020,4125
Hà Nội,2021,3940
Hà Nội,2022,4012
Hà Nội,2023,4105
Hà Nội,2024,4178
Vĩnh Phúc,2019,647
Vĩnh Phúc,2020,634
Vĩnh Phúc,2021,578
Vĩnh Phúc,2022,593
Vĩnh Phúc,2023,607
Vĩnh Phúc,2024,614
Bắc Ninh,2019,778
Bắc Ninh,2020,775
Bắc Ninh,2021,766
Bắc Ninh,2022,787
Bắc Ninh,2023,792
Bắc Ninh,2024,800
Quảng Ninh,2019,734
Quảng Ninh,2020,694
Quảng Ninh,2021,668
Quảng Ninh,2022,678
Quảng Ninh,2023,685
Quảng Ninh,2024,692
Hải Dương,2019,1071
Hải Dương,2020,1015
Hải Dương,2021,940
Hải Dương,2022,953
Hải Dương,2023,948
Hải Dương,2024,946
Hải Phòng,2019,1111
Hải Phòng,2020,1078
Hải Phòng,2021,1034
Hải Phòng,2022,1039
Hải Phòng,2023,1043
Hải Phòng,2024,1045
Hưng Yên,2019,727
Hưng Yên,2020,722
Hưng Yên,2021,680
Hưng Yên,2022,683
Hưng Yên,2023,692
Hưng Yên,2024,694
Thái Bình,2019,1133
Thái Bình,2020,1084
Thái Bình,2021,956
Thái Bình,2022,982
Thái Bình,2023,987
Thái Bình,2024,996
Hà Nam,2019,487
Hà Nam,2020,467
Hà Nam,2021,439
Hà Nam,2022,457
Hà Nam,2023,462
Hà Nam,2024,469
Nam Định,2019,1050
Nam Định,2020,1025
Nam Định,2021,947
Nam Định,2022,965
Nam Định,2023,968
Nam Định,2024,970
Ninh Bình,2019,582
Ninh Bình,2020,564
Ninh Bình,2021,487
Ninh Bình,2022,489
Ninh Bình,2023,493
Ninh Bình,2024,498
Hà Giang,2019,533
Hà Giang,2020,529
Hà Giang,2021,364
Hà Giang,2022,376
Hà Giang,2023,378
Hà Giang,2024,383
Cao Bằng,2019,349
Cao Bằng,2020,349
Cao Bằng,2021,163
Cao Bằng,2022,209
Cao Bằng,2023,227
