Khu vực,Năm,Diện tích,Dân số,Mật độ dân số
An Giang,2019,3536.7,1907,539
An Giang,2020,3536.8,1904,538
An Giang,2021,3536.8,1910,540
An Giang,2022,3536.8,1906,539
An Giang,2023,3536.8,1906,539
An Giang,2024,3536.8,1913,540.8
Bà Rịa - Vũng Tàu,2019,1981,1152,582
Bà Rịa - Vũng Tàu,2020,1982.6,1168,589
Bà Rịa - Vũng Tàu,2021,1982.6,1176,593
Bà Rịa - Vũng Tàu,2022,1982.6,1179,595
Bà Rịa - Vũng Tàu,2023,1982.6,1188,599
Bà Rịa - Vũng Tàu,2024,1982.6,1195,602.6
Bình Dương,2019,2694.6,2456,912
Bình Dương,2020,2694.6,2581,958
Bình Dương,2021,2694.6,2597,964
Bình Dương,2022,2694.6,2763,1025
Bình Dương,2023,2694.6,2823,1047.8
Bình Dương,2024,2694.6,2871,1065.3
Bình Phước,2019,6876.8,998,145
Bình Phước,2020,6873.6,1011,147
Bình Phước,2021,6873.6,1024,149
Bình Phước,2022,6873.6,1035,151
Bình Phước,2023,6873.6,1046,152.1
Bình Phước,2024,6873.6,1062,154.5
Bình Thuận,2019,7943.9,1232,155
Bình Thuận,2020,7942.5,1239,156
Bình Thuận,2021,7942.6,1246,157
Bình Thuận,2022,7942.6,1252,158
Bình Thuận,2023,7942.6,1259,158.5
Bình Thuận,2024,7942.6,1266,159.4
Bình Định,2019,6066.2,1488,245
Bình Định,2020,6066.4,1488,245
Bình Định,2021,6066.4,1508,249
Bình Định,2022,6066.4,1504,248
Bình Định,2023,6066.4,1506,248.3
Bình Định,2024,6066.4,1518,250.3
Bạc Liêu,2019,2669,908,340
Bạc Liêu,2020,2667.9,914,342
Bạc Liêu,2021,2667.9,918,344
Bạc Liêu,2022,2667.9,922,346
Bạc Liêu,2023,2667.9,925,346.8
Bạc Liêu,2024,2667.9,929,348.1
Bắc Giang,2019,3895.6,1810,465
Bắc Giang,2020,3895.9,1842,473
Bắc Giang,2021,3895.9,1875,481
Bắc Giang,2022,3895.9,1891,485
Bắc Giang,2023,3895.9,1923,493.5
Bắc Giang,2024,3895.9,1963,503.8
Bắc Kạn,2019,4860,314,65
Bắc Kạn,2020,4860,316,65
Bắc Kạn,2021,4860,324,67
Bắc Kạn,2022,4860,324,67
Bắc Kạn,2023,4860,326,67.2
Bắc Kạn,2024,4853.3,329,67.9
Bắc Ninh,2019,822.7,1379,1676
Bắc Ninh,2020,822.7,1419,1725
Bắc Ninh,2021,822.7,1463,1778
Bắc Ninh,2022,822.7,1488,1809
Bắc Ninh,2023,822.7,1517,1844.4
Bắc Ninh,2024,822.7,1547,1879.9
Bến Tre,2019,2394.8,1289,538
Bến Tre,2020,2379.7,1292,543
Bến Tre,2021,2379.7,1296,544
Bến Tre,2022,2379.7,1298,545
Bến Tre,2023,2379.7,1299,546
Bến Tre,2024,2379.7,1306,548.9
Cao Bằng,2019,6700.3,531,79
Cao Bằng,2020,6700.4,533,80
Cao Bằng,2021,6700.4,542,81
Cao Bằng,2022,6700.4,543,81
Cao Bằng,2023,6700.4,548,81.8
Cao Bằng,2024,6700.4,558,83.3
Cà Mau,2019,5221.2,1194,229
Cà Mau,2020,5274.5,1194,226
Cà Mau,2021,5274.5,1209,229
Cà Mau,2022,5274.5,1208,229
Cà Mau,2023,5274.5,1207,228.9
Cà Mau,2024,5274.5,1212,229.8
Cần Thơ,2019,1439,1236,859
Cần Thơ,2020,1440.4,1241,861
Cần Thơ,2021,1440.4,1247,866
Cần Thơ,2022,1440.4,1252,869
Cần Thơ,2023,1440.4,1259,874
Cần Thơ,2024,1440.4,1272,882.9
Gia Lai,2019,15511,1520,98
Gia Lai,2020,15510.1,1542,99
Gia Lai,2021,15510.1,1570,101
Gia Lai,2022,15510.1,1591,103
Gia Lai,2023,15510.1,1614,104.1
Gia Lai,2024,15510.1,1635,105.4
Hòa Bình,2019,4590.6,856,186
Hòa Bình,2020,4590.3,861,188
Hòa Bình,2021,4590.3,872,190
Hòa Bình,2022,4590.3,875,191
Hòa Bình,2023,4590.3,880,191.8
Hòa Bình,2024,4590.8,894,194.8
Hà Giang,2019,7929.5,858,108
Hà Giang,2020,7927.6,870,110
Hà Giang,2021,7927.6,887,112
Hà Giang,2022,7927.6,893,113
Hà Giang,2023,7927.5,900,113.5
Hà Giang,2024,7927.6,911,115
Hà Nam,2019,861.9,854,991
Hà Nam,2020,861.9,862,1000
Hà Nam,2021,861.9,875,1015
Hà Nam,2022,861.9,878,1019
Hà Nam,2023,861.9,886,1027.8
Hà Nam,2024,861.9,894,1037.5
Hà Nội,2019,3358.6,8094,2410
Hà Nội,2020,3359.8,8246,2454
Hà Nội,2021,3359.8,8331,2480
Hà Nội,2022,3359.8,8436,2511
Hà Nội,2023,3359.8,8587,2555.8
Hà Nội,2024,3359.8,8718,2594.7
Hà Tĩnh,2019,5990.7,1290,215
Hà Tĩnh,2020,5994.5,1297,216
Hà Tĩnh,2021,5994.5,1314,219
Hà Tĩnh,2022,5994.5,1324,221
Hà Tĩnh,2023,5994.4,1324,220.8
Hà Tĩnh,2024,5994.5,1330,221.8
Hưng Yên,2019,930.2,1256,1350
Hưng Yên,2020,930.2,1269,1364
Hưng Yên,2021,930.2,1285,1381
Hưng Yên,2022,930.2,1291,1388
Hưng Yên,2023,930.2,1301,1398.6
Hưng Yên,2024,930.2,1318,1417
Hải Dương,2019,1668.2,1897,1137
Hải Dương,2020,1668.4,1917,1149
