Ngành kinh tế,Năm,Năng suất lao động
"Nông nghiệp, lâm nghiệp và thủy sản",2019,48.2
"Nông nghiệp, lâm nghiệp và thủy sản",2020,57.4
"Nông nghiệp, lâm nghiệp và thủy sản",2021,75
"Nông nghiệp, lâm nghiệp và thủy sản",2022,81.9
"Nông nghiệp, lâm nghiệp và thủy sản",2023,88.5
Khai khoáng,2019,1167.4
Khai khoáng,2020,1108.3
Khai khoáng,2021,1207.2
Khai khoáng,2022,1427.7
Khai khoáng,2023,1483.9
"Công nghiệp chế biến, chế tạo",2019,162.4
"Công nghiệp chế biến, chế tạo",2020,170.4
"Công nghiệp chế biến, chế tạo",2021,185.2
"Công nghiệp chế biến, chế tạo",2022,199.4
"Công nghiệp chế biến, chế tạo",2023,204.2
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2019,1462
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2020,1827.1
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2021,2210.6
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2022,2711.4
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2023,2808.2
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2019,237.5
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2020,244.7
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2021,254.2
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2022,254.1
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2023,320.7
Xây dựng,2019,97.8
Xây dựng,2020,102.7
Xây dựng,2021,111.9
Xây dựng,2022,127.8
Xây dựng,2023,135
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2019,98.9
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2020,105.8
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2021,110.5
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2022,116.7
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2023,129.4
"Vận tải, kho bãi",2019,196.6
"Vận tải, kho bãi",2020,196.7
"Vận tải, kho bãi",2021,203.6
"Vận tải, kho bãi",2022,233.3
"Vận tải, kho bãi",2023,248.6
Dịch vụ lưu trú và ăn uống,2019,82.7
Dịch vụ lưu trú và ăn uống,2020,66.3
Dịch vụ lưu trú và ăn uống,2021,58.9
Dịch vụ lưu trú và ăn uống,2022,80.4
Dịch vụ lưu trú và ăn uống,2023,87.1
Thông tin và truyền thông,2019,812
Thông tin và truyền thông,2020,859.8
Thông tin và truyền thông,2021,1073.2
Thông tin và truyền thông,2022,1060.4
Thông tin và truyền thông,2023,1043.9
"Hoạt động tài chính, ngân hàng và bảo hiểm",2019,700.9
"Hoạt động tài chính, ngân hàng và bảo hiểm",2020,785.8
"Hoạt động tài chính, ngân hàng và bảo hiểm",2021,828.9
"Hoạt động tài chính, ngân hàng và bảo hiểm",2022,931.3
"Hoạt động tài chính, ngân hàng và bảo hiểm",2023,1018.4
Hoạt động kinh doanh bất động sản,2019,992.4
Hoạt động kinh doanh bất động sản,2020,961.2
Hoạt động kinh doanh bất động sản,2021,1004.7
Hoạt động kinh doanh bất động sản,2022,907.9
Hoạt động kinh doanh bất động sản,2023,1008.5
"Hoạt động chuyên môn, khoa học và công nghệ",2019,541.9
"Hoạt động chuyên môn, khoa học và công nghệ",2020,522.4
"Hoạt động chuyên môn, khoa học và công nghệ",2021,610.5
"Hoạt động chuyên môn, khoa học và công nghệ",2022,567.7
"Hoạt động chuyên môn, khoa học và công nghệ",2023,539.1
Hoạt động hành chính và dịch vụ hỗ trợ,2019,322.1
Hoạt động hành chính và dịch vụ hỗ trợ,2020,261.8
Hoạt động hành chính và dịch vụ hỗ trợ,2021,238.6
Hoạt động hành chính và dịch vụ hỗ trợ,2022,288
Hoạt động hành chính và dịch vụ hỗ trợ,2023,296.2
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2019,113.3
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2020,121.4
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2021,134.6
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2022,149.9
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2023,162.6
Giáo dục và đào tạo,2019,141.7
Giáo dục và đào tạo,2020,154
Giáo dục và đào tạo,2021,176.6
Giáo dục và đào tạo,2022,189.9
Giáo dục và đào tạo,2023,202.9
