Khu vực,Năm,Số lượng doanh nghiệp thành lập mới
Hà Nội,2019,27711
Hà Nội,2020,26135
Hà Nội,2021,24026
Hà Nội,2022,29720
Hà Nội,2023,31512
Hà Nội,2024,28931
Vĩnh Phúc,2019,1194
Vĩnh Phúc,2020,1249
Vĩnh Phúc,2021,1214
Vĩnh Phúc,2022,1377
Vĩnh Phúc,2023,1689
Vĩnh Phúc,2024,1859
Bắc Ninh,2019,2405
Bắc Ninh,2020,2390
Bắc Ninh,2021,2368
Bắc Ninh,2022,2700
Bắc Ninh,2023,1523
Bắc Ninh,2024,1511
Quảng Ninh,2019,1605
Quảng Ninh,2020,1456
Quảng Ninh,2021,1455
Quảng Ninh,2022,1643
Quảng Ninh,2023,3473
Quảng Ninh,2024,3820
Hải Dương,2019,1695
Hải Dương,2020,1600
Hải Dương,2021,1425
Hải Dương,2022,1579
Hải Dương,2023,1884
Hải Dương,2024,1992
Hải Phòng,2019,2943
Hải Phòng,2020,2867
Hải Phòng,2021,3034
Hải Phòng,2022,3294
Hải Phòng,2023,3523
Hải Phòng,2024,3494
Hưng Yên,2019,1194
Hưng Yên,2020,1153
Hưng Yên,2021,1331
Hưng Yên,2022,1364
Hưng Yên,2023,1594
Hưng Yên,2024,2079
Thái Bình,2019,890
Thái Bình,2020,714
Thái Bình,2021,847
Thái Bình,2022,1130
Thái Bình,2023,1245
Thái Bình,2024,1223
Hà Nam,2019,684
Hà Nam,2020,682
Hà Nam,2021,666
Hà Nam,2022,796
Hà Nam,2023,771
Hà Nam,2024,926
Nam Định,2019,796
Nam Định,2020,794
Nam Định,2021,906
Nam Định,2022,1088
Nam Định,2023,1283
Nam Định,2024,1311
Ninh Bình,2019,725
Ninh Bình,2020,683
Ninh Bình,2021,641
Ninh Bình,2022,781
Ninh Bình,2023,880
Ninh Bình,2024,881
Hà Giang,2019,173
Hà Giang,2020,151
Hà Giang,2021,126
Hà Giang,2022,183
Hà Giang,2023,237
Hà Giang,2024,191
Cao Bằng,2019,167
Cao Bằng,2020,167
Cao Bằng,2021,138
Cao Bằng,2022,174
Cao Bằng,2023,125
Cao Bằng,2024,137
Bắc Kạn,2019,66
Bắc Kạn,2020,64
Bắc Kạn,2021,107
Bắc Kạn,2022,116
Bắc Kạn,2023,122
Bắc Kạn,2024,115
Tuyên Quang,2019,211
Tuyên Quang,2020,235
Tuyên Quang,2021,256
Tuyên Quang,2022,297
Tuyên Quang,2023,267
Tuyên Quang,2024,266
Lào Cai,2019,421
Lào Cai,2020,525
Lào Cai,2021,604
Lào Cai,2022,655
Lào Cai,2023,689
Lào Cai,2024,675
Yên Bái,2019,251
Yên Bái,2020,274
Yên Bái,2021,342
Yên Bái,2022,321
Yên Bái,2023,137
Yên Bái,2024,160
Thái Nguyên,2019,752
Thái Nguyên,2020,732
Thái Nguyên,2021,891
Thái Nguyên,2022,955
Thái Nguyên,2023,138
Thái Nguyên,2024,148
Lạng Sơn,2019,387
Lạng Sơn,2020,409
Lạng Sơn,2021,493
Lạng Sơn,2022,463
Lạng Sơn,2023,277
Lạng Sơn,2024,371
Bắc Giang,2019,1356
Bắc Giang,2020,1332
