Ngành nghề,Năm,Số lao động có việc làm
Nhà lãnh đạo,2019,522
Nhà lãnh đạo,2020,554
Nhà lãnh đạo,2021,478
Nhà lãnh đạo,2022,477
Nhà lãnh đạo,2023,501
Nhà lãnh đạo,2024,477
Chuyên môn kỹ thuật bậc cao,2019,4279
Chuyên môn kỹ thuật bậc cao,2020,4286
Chuyên môn kỹ thuật bậc cao,2021,3596
Chuyên môn kỹ thuật bậc cao,2022,3636
Chuyên môn kỹ thuật bậc cao,2023,3638
Chuyên môn kỹ thuật bậc cao,2024,3902
Chuyên môn kỹ thuật bậc trung,2019,1854
Chuyên môn kỹ thuật bậc trung,2020,1733
Chuyên môn kỹ thuật bậc trung,2021,1635
Chuyên môn kỹ thuật bậc trung,2022,1658
Chuyên môn kỹ thuật bậc trung,2023,1733
Chuyên môn kỹ thuật bậc trung,2024,1603
Nhân viên,2019,1072
Nhân viên,2020,1016
Nhân viên,2021,1127
Nhân viên,2022,1227
Nhân viên,2023,1301
Nhân viên,2024,1317
"Dịch vụ cá nhân, bảo vệ bán hàng",2019,9526
"Dịch vụ cá nhân, bảo vệ bán hàng",2020,9638
"Dịch vụ cá nhân, bảo vệ bán hàng",2021,9301
"Dịch vụ cá nhân, bảo vệ bán hàng",2022,9747
"Dịch vụ cá nhân, bảo vệ bán hàng",2023,10153
"Dịch vụ cá nhân, bảo vệ bán hàng",2024,10411
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2019,4008
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2020,3938
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2021,5994
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2022,6144
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2023,5824
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2024,5601
Thợ thủ công và các thợ khác có liên quan,2019,7843
Thợ thủ công và các thợ khác có liên quan,2020,7354
Thợ thủ công và các thợ khác có liên quan,2021,7140
Thợ thủ công và các thợ khác có liên quan,2022,7374
Thợ thủ công và các thợ khác có liên quan,2023,7301
Thợ thủ công và các thợ khác có liên quan,2024,7325
"Thợ lắp ráp và vận hành máy móc, thiết bị",2019,6604
"Thợ lắp ráp và vận hành máy móc, thiết bị",2020,7100
"Thợ lắp ráp và vận hành máy móc, thiết bị",2021,6928
"Thợ lắp ráp và vận hành máy móc, thiết bị",2022,7567
"Thợ lắp ráp và vận hành máy móc, thiết bị",2023,7512
"Thợ lắp ráp và vận hành máy móc, thiết bị",2024,7626
Nghề giản đơn,2019,18838
Nghề giản đơn,2020,17884
Nghề giản đơn,2021,12629
Nghề giản đơn,2022,12525
Nghề giản đơn,2023,13037
Nghề giản đơn,2024,13287
Khác,2019,114
Khác,2020,106
Khác,2021,245
Khác,2022,249
Khác,2023,288
Khác,2024,311
