Vị thế việc làm,Năm,Số lao động có việc làm
Làm công ăn lương,2019,25944
Làm công ăn lương,2020,25951
Làm công ăn lương,2021,25462
Làm công ăn lương,2022,27230
Làm công ăn lương,2023,27651
Làm công ăn lương,2024,27876
Chủ cơ sở sản xuất kinh doanh,2019,1496
Chủ cơ sở sản xuất kinh doanh,2020,1450
Chủ cơ sở sản xuất kinh doanh,2021,1105
Chủ cơ sở sản xuất kinh doanh,2022,1020
Chủ cơ sở sản xuất kinh doanh,2023,1071
Chủ cơ sở sản xuất kinh doanh,2024,853
Tự làm,2019,19535
Tự làm,2020,19565
Tự làm,2021,16757
Tự làm,2022,16861
Tự làm,2023,17109
Tự làm,2024,17753
Lao động gia đình,2019,7678
Lao động gia đình,2020,6636
Lao động gia đình,2021,5739
Lao động gia đình,2022,5484
Lao động gia đình,2023,5434
Lao động gia đình,2024,5355
Xã viên hợp tác xã,2019,6
Xã viên hợp tác xã,2020,9
Xã viên hợp tác xã,2021,9
Xã viên hợp tác xã,2022,10
Xã viên hợp tác xã,2023,21
Xã viên hợp tác xã,2024,23
