Khu vực,Năm,Tuổi thọ
Hà Nội,2019,75.47
Hà Nội,2020,75.47
Hà Nội,2021,75.66
Hà Nội,2022,76.04
Hà Nội,2023,76.13
Hà Nội,2024,76.63
Vĩnh Phúc,2019,74.31
Vĩnh Phúc,2020,74
Vĩnh Phúc,2021,74.36
Vĩnh Phúc,2022,74.36
Vĩnh Phúc,2023,74.87
Vĩnh Phúc,2024,75.48
Bắc Ninh,2019,74.34
Bắc Ninh,2020,74.05
Bắc Ninh,2021,74.26
Bắc Ninh,2022,74.26
Bắc Ninh,2023,75
Bắc Ninh,2024,75.61
Quảng Ninh,2019,73.49
Quảng Ninh,2020,73.43
Quảng Ninh,2021,73.49
Quảng Ninh,2022,73.49
Quảng Ninh,2023,74.07
Quảng Ninh,2024,74.71
Hải Dương,2019,74.79
Hải Dương,2020,74.83
Hải Dương,2021,74.84
Hải Dương,2022,74.84
Hải Dương,2023,75.05
Hải Dương,2024,75.65
Hải Phòng,2019,74.67
Hải Phòng,2020,74.54
Hải Phòng,2021,74.68
Hải Phòng,2022,74.68
Hải Phòng,2023,74.95
Hải Phòng,2024,75.57
Hưng Yên,2019,74.59
Hưng Yên,2020,74.7
Hưng Yên,2021,74.66
Hưng Yên,2022,74.66
Hưng Yên,2023,75
Hưng Yên,2024,75.61
Thái Bình,2019,75.43
Thái Bình,2020,74.91
Thái Bình,2021,75.41
Thái Bình,2022,75.41
Thái Bình,2023,75.43
Thái Bình,2024,76.01
Hà Nam,2019,74.66
Hà Nam,2020,74.7
Hà Nam,2021,74.69
Hà Nam,2022,74.69
Hà Nam,2023,75.05
Hà Nam,2024,75.65
Nam Định,2019,74.46
Nam Định,2020,74.55
Nam Định,2021,74.48
Nam Định,2022,74.48
Nam Định,2023,74.91
Nam Định,2024,75.52
Ninh Bình,2019,73.75
Ninh Bình,2020,74.17
Ninh Bình,2021,74.25
Ninh Bình,2022,74.25
Ninh Bình,2023,74.44
Ninh Bình,2024,75.06
Hà Giang,2019,67.88
Hà Giang,2020,68.4
Hà Giang,2021,68.78
Hà Giang,2022,68.78
Hà Giang,2023,71.48
Hà Giang,2024,71.41
Cao Bằng,2019,70.6
Cao Bằng,2020,70.56
Cao Bằng,2021,71.36
Cao Bằng,2022,71.36
Cao Bằng,2023,72.31
Cao Bằng,2024,72.24
Bắc Kạn,2019,72.62
Bắc Kạn,2020,72.58
Bắc Kạn,2021,72.59
Bắc Kạn,2022,72.59
Bắc Kạn,2023,72.95
Bắc Kạn,2024,72.88
Tuyên Quang,2019,72.25
Tuyên Quang,2020,72.28
Tuyên Quang,2021,72.18
Tuyên Quang,2022,72.18
Tuyên Quang,2023,73.02
Tuyên Quang,2024,72.96
Lào Cai,2019,69.16
Lào Cai,2020,69.26
Lào Cai,2021,69.96
Lào Cai,2022,69.96
Lào Cai,2023,71.34
Lào Cai,2024,71.27
Yên Bái,2019,69.68
Yên Bái,2020,69.56
Yên Bái,2021,69.66
Yên Bái,2022,69.66
Yên Bái,2023,71.69
Yên Bái,2024,71.61
Thái Nguyên,2019,73.62
Thái Nguyên,2020,73.68
Thái Nguyên,2021,73.7
Thái Nguyên,2022,73.7
Thái Nguyên,2023,74.53
Thái Nguyên,2024,74.48
Lạng Sơn,2019,72.35
Lạng Sơn,2020,72.42
Lạng Sơn,2021,72.45
Lạng Sơn,2022,72.45
Lạng Sơn,2023,73.06
Lạng Sơn,2024,73
Bắc Giang,2019,73.4
Bắc Giang,2020,73.45
Bắc Giang,2021,73.42
Bắc Giang,2022,73.42
Bắc Giang,2023,74.4
Bắc Giang,2024,74.35
Phú Thọ,2019,73.5
Phú Thọ,2020,73.44
Phú Thọ,2021,73.53
Phú Thọ,2022,73.53
Phú Thọ,2023,74.36
Phú Thọ,2024,74.31
Điện Biên,2019,67.83
Điện Biên,2020,68.44
Điện Biên,2021,68.44
Điện Biên,2022,68.44
Điện Biên,2023,69.89
Điện Biên,2024,69.8
Lai Châu,2019,65.83
Lai Châu,2020,66.69
Lai Châu,2021,67.9
Lai Châu,2022,67.9
Lai Châu,2023,69.82
Lai Châu,2024,65.83
Sơn La,2019,70.9
Sơn La,2020,70.96
Sơn La,2021,70.94
Sơn La,2022,70.94
Sơn La,2023,73.43
Sơn La,2024,73.38
Hòa Bình,2019,72.66
Hòa Bình,2020,72.6
Hòa Bình,2021,72.69
Hòa Bình,2022,72.69
Hòa Bình,2023,73.36
Hòa Bình,2024,73.3
Thanh Hóa,2019,73.35
Thanh Hóa,2020,73.42
Thanh Hóa,2021,73.43
Thanh Hóa,2022,73.43
Thanh Hóa,2023,73.81
Thanh Hóa,2024,74.35
Nghệ An,2019,72.88
Nghệ An,2020,73.09
Nghệ An,2021,73.15
Nghệ An,2022,73.15
Nghệ An,2023,73.55
Nghệ An,2024,74.08
Hà Tĩnh,2019,72.77
Hà Tĩnh,2020,72.59
Hà Tĩnh,2021,72.81
Hà Tĩnh,2022,72.81
Hà Tĩnh,2023,73.36
Hà Tĩnh,2024,73.89
Quảng Bình,2019,72.11
Quảng Bình,2020,72.65
Quảng Bình,2021,72.86
Quảng Bình,2022,72.86
Quảng Bình,2023,73.14
Quảng Bình,2024,73.67
Quảng Trị,2019,68.31
Quảng Trị,2020,68.17
Quảng Trị,2021,69.3
Quảng Trị,2022,69.3
Quảng Trị,2023,71.38
Quảng Trị,2024,72.03
Huế,2019,71.79
Huế,2020,71.71
Huế,2021,72.31
Huế,2022,72.31
Huế,2023,73.21
Huế,2024,73.74
Đà Nẵng,2019,76.1
Đà Nẵng,2020,76.27
Đà Nẵng,2021,76.18
Đà Nẵng,2022,76.18
Đà Nẵng,2023,76.27
Đà Nẵng,2024,76.66
Quảng Nam,2019,72.94
Quảng Nam,2020,73.04
Quảng Nam,2021,73.1
Quảng Nam,2022,73.1
Quảng Nam,2023,73.51
Quảng Nam,2024,74.04
Quảng Ngãi,2019,72.51
Quảng Ngãi,2020,72.37
Quảng Ngãi,2021,72.53
Quảng Ngãi,2022,72.53
Quảng Ngãi,2023,73.17
Quảng Ngãi,2024,73.71
Bình Định,2019,73.48
Bình Định,2020,73.51
Bình Định,2021,73.47
Bình Định,2022,73.47
Bình Định,2023,74.23
Bình Định,2024,74.73
Phú Yên,2019,73.46
Phú Yên,2020,73.57
Phú Yên,2021,73.52
Phú Yên,2022,73.52
Phú Yên,2023,73.9
Phú Yên,2024,74.42
Khánh Hòa,2019,73.87
Khánh Hòa,2020,73.52
Khánh Hòa,2021,73.93
Khánh Hòa,2022,73.93
Khánh Hòa,2023,74.36
Khánh Hòa,2024,74.84
Ninh Thuận,2019,73.01
Ninh Thuận,2020,72.92
Ninh Thuận,2021,73.14
Ninh Thuận,2022,73.14
Ninh Thuận,2023,73.66
Ninh Thuận,2024,74.19
Bình Thuận,2019,74.47
Bình Thuận,2020,74.56
Bình Thuận,2021,74.65
Bình Thuận,2022,74.65
Bình Thuận,2023,74.91
Bình Thuận,2024,75.39
Kon Tum,2019,66.73
Kon Tum,2020,67.65
Kon Tum,2021,68.01
Kon Tum,2022,68.01
Kon Tum,2023,69.73
Kon Tum,2024,69.87
Gia Lai,2019,69.88
Gia Lai,2020,70.07
Gia Lai,2021,71.17
Gia Lai,2022,71.17
Gia Lai,2023,72.42
Gia Lai,2024,72.54
Đắk Lắk,2019,70.55
Đắk Lắk,2020,70.99
Đắk Lắk,2021,71.42
Đắk Lắk,2022,71.42
Đắk Lắk,2023,71.93
Đắk Lắk,2024,72.04
Đắk Nông,2019,70.04
Đắk Nông,2020,70.12
Đắk Nông,2021,70.29
Đắk Nông,2022,70.29
Đắk Nông,2023,71.62
Đắk Nông,2024,71.74
Lâm Đồng,2019,73.04
Lâm Đồng,2020,73.29
Lâm Đồng,2021,73.27
Lâm Đồng,2022,73.27
Lâm Đồng,2023,73.81
Lâm Đồng,2024,73.91
Bình Phước,2019,73.86
Bình Phước,2020,73.95
Bình Phước,2021,73.98
Bình Phước,2022,73.98
Bình Phước,2023,74.36
Bình Phước,2024,74.82
Tây Ninh,2019,74.77
Tây Ninh,2020,74.74
Tây Ninh,2021,74.81
Tây Ninh,2022,74.81
Tây Ninh,2023,75.05
Tây Ninh,2024,75.5
Bình Dương,2019,74.75
Bình Dương,2020,74.75
Bình Dương,2021,74.75
Bình Dương,2022,74.75
Bình Dương,2023,74.75
Bình Dương,2024,74.75
Đồng Nai,2019,76.67
Đồng Nai,2020,76.3
Đồng Nai,2021,76.26
Đồng Nai,2022,76.26
Đồng Nai,2023,76.27
Đồng Nai,2024,76.64
Bà Rịa - Vũng Tàu,2019,76.41
Bà Rịa - Vũng Tàu,2020,76.47
Bà Rịa - Vũng Tàu,2021,76.41
Bà Rịa - Vũng Tàu,2022,76.41
Bà Rịa - Vũng Tàu,2023,76.37
Bà Rịa - Vũng Tàu,2024,76.75
TP.Hồ Chí Minh,2019,76.62
TP.Hồ Chí Minh,2020,76.46
TP.Hồ Chí Minh,2021,76.24
TP.Hồ Chí Minh,2022,76.25
TP.Hồ Chí Minh,2023,76.46
TP.Hồ Chí Minh,2024,76.58
Long An,2019,75.76
Long An,2020,75.61
Long An,2021,75.75
Long An,2022,76.12
Long An,2023,76.03
Long An,2024,76.44
Tiền Giang,2019,75.96
Tiền Giang,2020,76.12
Tiền Giang,2021,75.95
Tiền Giang,2022,75.95
Tiền Giang,2023,75.98
Tiền Giang,2024,76.4
Bến Tre,2019,75.66
Bến Tre,2020,75.61
Bến Tre,2021,75.66
Bến Tre,2022,75.66
Bến Tre,2023,75.77
Bến Tre,2024,76.23
Trà Vinh,2019,74.58
Trà Vinh,2020,74.77
Trà Vinh,2021,74.65
Trà Vinh,2022,74.65
Trà Vinh,2023,75.19
Trà Vinh,2024,75.69
Vĩnh Long,2019,75.48
Vĩnh Long,2020,75.57
Vĩnh Long,2021,75.42
Vĩnh Long,2022,75.42
Vĩnh Long,2023,75.67
Vĩnh Long,2024,76.14
Đồng Tháp,2019,74.72
Đồng Tháp,2020,74.88
Đồng Tháp,2021,74.71
Đồng Tháp,2022,74.71
Đồng Tháp,2023,75.05
Đồng Tháp,2024,75.56
An Giang,2019,73.74
An Giang,2020,73.77
An Giang,2021,73.71
An Giang,2022,73.71
An Giang,2023,74.07
An Giang,2024,74.61
Kiên Giang,2019,74.46
Kiên Giang,2020,74.45
Kiên Giang,2021,74.44
Kiên Giang,2022,74.44
Kiên Giang,2023,74.66
Kiên Giang,2024,75.17
Cần Thơ,2019,75.9
Cần Thơ,2020,75.97
Cần Thơ,2021,75.8
Cần Thơ,2022,75.8
Cần Thơ,2023,75.89
Cần Thơ,2024,76.31
Hậu Giang,2019,75.52
Hậu Giang,2020,75.53
Hậu Giang,2021,75.54
Hậu Giang,2022,75.54
Hậu Giang,2023,75.72
Hậu Giang,2024,76.19
Sóc Trăng,2019,74.23
Sóc Trăng,2020,74.35
Sóc Trăng,2021,74.29
Sóc Trăng,2022,74.29
Sóc Trăng,2023,74.61
Sóc Trăng,2024,75.12
Bạc Liêu,2019,74.62
Bạc Liêu,2020,74.72
Bạc Liêu,2021,74.61
Bạc Liêu,2022,74.61
Bạc Liêu,2023,75.09
Bạc Liêu,2024,75.6
Cà Mau,2019,74.98
Cà Mau,2020,75.31
Cà Mau,2021,75.12
Cà Mau,2022,75.12
Cà Mau,2023,75.43
Cà Mau,2024,74.98
