Vùng,Năm,Tuổi thọ
Đồng bằng sông Hồng,2019,75
Đồng bằng sông Hồng,2020,75
Đồng bằng sông Hồng,2021,75
Đồng bằng sông Hồng,2022,75
Đồng bằng sông Hồng,2023,76
Đồng bằng sông Hồng,2024,76
Trung du và miền núi phía Bắc,2019,71
Trung du và miền núi phía Bắc,2020,71
Trung du và miền núi phía Bắc,2021,71
Trung du và miền núi phía Bắc,2022,71
Trung du và miền núi phía Bắc,2023,73
Trung du và miền núi phía Bắc,2024,73
Bắc Trung Bộ và Duyên hải miền Trung,2019,73
Bắc Trung Bộ và Duyên hải miền Trung,2020,73
Bắc Trung Bộ và Duyên hải miền Trung,2021,73
Bắc Trung Bộ và Duyên hải miền Trung,2022,73
Bắc Trung Bộ và Duyên hải miền Trung,2023,74
Bắc Trung Bộ và Duyên hải miền Trung,2024,74
Tây Nguyên,2019,70
Tây Nguyên,2020,71
Tây Nguyên,2021,71
Tây Nguyên,2022,71
Tây Nguyên,2023,72
Tây Nguyên,2024,72
Đông Nam Bộ,2019,76
Đông Nam Bộ,2020,76
Đông Nam Bộ,2021,76
Đông Nam Bộ,2022,76
Đông Nam Bộ,2023,76
Đông Nam Bộ,2024,76
Đồng bằng sông Cửu Long,2019,75
Đồng bằng sông Cửu Long,2020,75
Đồng bằng sông Cửu Long,2021,75
Đồng bằng sông Cửu Long,2022,75
Đồng bằng sông Cửu Long,2023,76
Đồng bằng sông Cửu Long,2024,76
