Khu vực,Năm,Tỷ lệ dân số biết chữ
Hà Nội,2019,99.2
Hà Nội,2020,98.9
Hà Nội,2021,98.94
Hà Nội,2022,99.39
Hà Nội,2023,99.39
Hà Nội,2024,99.44
Vĩnh Phúc,2019,98.7
Vĩnh Phúc,2020,98.3
Vĩnh Phúc,2021,98.66
Vĩnh Phúc,2022,99.16
Vĩnh Phúc,2023,99.22
Vĩnh Phúc,2024,99.18
Bắc Ninh,2019,98.8
Bắc Ninh,2020,98.46
Bắc Ninh,2021,98.35
Bắc Ninh,2022,98.16
Bắc Ninh,2023,98.79
Bắc Ninh,2024,98.93
Quảng Ninh,2019,97
Quảng Ninh,2020,97.06
Quảng Ninh,2021,97.15
Quảng Ninh,2022,96.63
Quảng Ninh,2023,96.41
Quảng Ninh,2024,98.02
Hải Dương,2019,99
Hải Dương,2020,98.69
Hải Dương,2021,98.73
Hải Dương,2022,99.04
Hải Dương,2023,99.32
Hải Dương,2024,98.99
Hải Phòng,2019,99
Hải Phòng,2020,98.81
Hải Phòng,2021,99.19
Hải Phòng,2022,99.16
Hải Phòng,2023,99.35
Hải Phòng,2024,99.17
Hưng Yên,2019,98.9
Hưng Yên,2020,98.3
Hưng Yên,2021,98.19
Hưng Yên,2022,98.7
Hưng Yên,2023,98.65
Hưng Yên,2024,99.1
Thái Bình,2019,99
Thái Bình,2020,98.7
Thái Bình,2021,98.9
Thái Bình,2022,99.16
Thái Bình,2023,99.22
Thái Bình,2024,99.45
Hà Nam,2019,98.6
Hà Nam,2020,98.6
Hà Nam,2021,98.86
Hà Nam,2022,98.84
Hà Nam,2023,99.34
Hà Nam,2024,98.81
Nam Định,2019,98.7
Nam Định,2020,98
Nam Định,2021,98.41
Nam Định,2022,98.38
Nam Định,2023,98.96
Nam Định,2024,98.86
Ninh Bình,2019,98.6
Ninh Bình,2020,97.91
Ninh Bình,2021,97.71
Ninh Bình,2022,98.37
Ninh Bình,2023,98.34
Ninh Bình,2024,99
Hà Giang,2019,73.5
Hà Giang,2020,74.73
Hà Giang,2021,74.45
Hà Giang,2022,75.84
Hà Giang,2023,78.29
Hà Giang,2024,78.07
Cao Bằng,2019,85.7
Cao Bằng,2020,86.6
Cao Bằng,2021,85.36
Cao Bằng,2022,87.36
Cao Bằng,2023,88.53
Cao Bằng,2024,88.06
Bắc Kạn,2019,91.7
Bắc Kạn,2020,91.63
Bắc Kạn,2021,93.49
Bắc Kạn,2022,93.31
Bắc Kạn,2023,94.98
Bắc Kạn,2024,92.41
Tuyên Quang,2019,94.3
Tuyên Quang,2020,93.94
Tuyên Quang,2021,94.99
Tuyên Quang,2022,97.26
Tuyên Quang,2023,97.19
Tuyên Quang,2024,96.19
Lào Cai,2019,82.1
Lào Cai,2020,83.62
Lào Cai,2021,86.38
Lào Cai,2022,85.34
Lào Cai,2023,86.48
Lào Cai,2024,88
Yên Bái,2019,88.5
Yên Bái,2020,88.99
Yên Bái,2021,89.82
Yên Bái,2022,91.21
Yên Bái,2023,90.6
Yên Bái,2024,91.29
Thái Nguyên,2019,98.2
Thái Nguyên,2020,97.99
Thái Nguyên,2021,98.32
Thái Nguyên,2022,98.27
Thái Nguyên,2023,98.75
Thái Nguyên,2024,98.62
Lạng Sơn,2019,95.4
Lạng Sơn,2020,95.5
Lạng Sơn,2021,95.77
Lạng Sơn,2022,96.95
Lạng Sơn,2023,97.3
Lạng Sơn,2024,96.96
Bắc Giang,2019,98.7
Bắc Giang,2020,98.35
Bắc Giang,2021,98.2
Bắc Giang,2022,98.44
Bắc Giang,2023,98.93
Bắc Giang,2024,99.16
Phú Thọ,2019,98.5
Phú Thọ,2020,97.91
Phú Thọ,2021,97.6
Phú Thọ,2022,98.32
Phú Thọ,2023,98.57
Phú Thọ,2024,99.05
Điện Biên,2019,73.1
Điện Biên,2020,75.58
Điện Biên,2021,74.92
Điện Biên,2022,77.63
Điện Biên,2023,78.78
Điện Biên,2024,79.66
Lai Châu,2019,64.4
Lai Châu,2020,65.52
Lai Châu,2021,70.99
Lai Châu,2022,68.47
Lai Châu,2023,70.85
Lai Châu,2024,73.71
Sơn La,2019,78.9
Sơn La,2020,80.67
Sơn La,2021,80.32
Sơn La,2022,82.3
Sơn La,2023,81.18
Sơn La,2024,84.18
Hòa Bình,2019,96.3
Hòa Bình,2020,97.18
Hòa Bình,2021,97.5
Hòa Bình,2022,97.4
Hòa Bình,2023,98.19
Hòa Bình,2024,97.76
Thanh Hóa,2019,97.3
Thanh Hóa,2020,96.92
Thanh Hóa,2021,96.69
Thanh Hóa,2022,96.92
Thanh Hóa,2023,97.37
Thanh Hóa,2024,97.96
Nghệ An,2019,97.4
Nghệ An,2020,97.42
Nghệ An,2021,96.93
Nghệ An,2022,97.68
Nghệ An,2023,98.31
Nghệ An,2024,97.47
