Ngành kinh tế,Năm,Tỷ lệ lao động đã qua đào tạo
"Nông nghiệp, lâm nghiệp và thủy sản",2019,4
"Nông nghiệp, lâm nghiệp và thủy sản",2020,4.62
"Nông nghiệp, lâm nghiệp và thủy sản",2021,4.13
"Nông nghiệp, lâm nghiệp và thủy sản",2022,4.08
"Nông nghiệp, lâm nghiệp và thủy sản",2023,4.54
"Nông nghiệp, lâm nghiệp và thủy sản",2024,4.68
Khai khoáng,2019,54
Khai khoáng,2020,51.11
Khai khoáng,2021,63.44
Khai khoáng,2022,61.63
Khai khoáng,2023,62.72
Khai khoáng,2024,64.31
"Công nghiệp chế biến, chế tạo",2019,17.7
"Công nghiệp chế biến, chế tạo",2020,17.94
"Công nghiệp chế biến, chế tạo",2021,23.63
"Công nghiệp chế biến, chế tạo",2022,23.4
"Công nghiệp chế biến, chế tạo",2023,21.52
"Công nghiệp chế biến, chế tạo",2024,23.13
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2019,76.4
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2020,77.79
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2021,79.02
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2022,80.91
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2023,81.13
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",2024,79.95
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2019,37.5
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2020,39.94
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2021,39
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2022,41.08
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2023,42.43
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",2024,48.92
Xây dựng,2019,14.1
Xây dựng,2020,13.86
Xây dựng,2021,14.41
Xây dựng,2022,14.68
Xây dựng,2023,16.59
Xây dựng,2024,21.62
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2019,25.1
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2020,27.17
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2021,27.8
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2022,27.72
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2023,31.64
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",2024,31.86
"Vận tải, kho bãi",2019,64.3
"Vận tải, kho bãi",2020,66.01
"Vận tải, kho bãi",2021,65.13
"Vận tải, kho bãi",2022,64.55
"Vận tải, kho bãi",2023,66.37
"Vận tải, kho bãi",2024,66.49
Dịch vụ lưu trú và ăn uống,2019,13.8
Dịch vụ lưu trú và ăn uống,2020,15.99
Dịch vụ lưu trú và ăn uống,2021,14.99
Dịch vụ lưu trú và ăn uống,2022,15.93
Dịch vụ lưu trú và ăn uống,2023,18.48
Dịch vụ lưu trú và ăn uống,2024,18.13
Thông tin và truyền thông,2019,86.5
Thông tin và truyền thông,2020,83.49
Thông tin và truyền thông,2021,86.28
Thông tin và truyền thông,2022,88.02
Thông tin và truyền thông,2023,88.1
Thông tin và truyền thông,2024,87.71
"Hoạt động tài chính, ngân hàng và bảo hiểm",2019,86
"Hoạt động tài chính, ngân hàng và bảo hiểm",2020,85.07
"Hoạt động tài chính, ngân hàng và bảo hiểm",2021,86.79
"Hoạt động tài chính, ngân hàng và bảo hiểm",2022,85.69
"Hoạt động tài chính, ngân hàng và bảo hiểm",2023,86.35
"Hoạt động tài chính, ngân hàng và bảo hiểm",2024,88.36
Hoạt động kinh doanh bất động sản,2019,45.4
Hoạt động kinh doanh bất động sản,2020,43.58
Hoạt động kinh doanh bất động sản,2021,50.82
Hoạt động kinh doanh bất động sản,2022,52.26
Hoạt động kinh doanh bất động sản,2023,51.29
Hoạt động kinh doanh bất động sản,2024,50.35
"Hoạt động chuyên môn, khoa học và công nghệ",2019,80.2
"Hoạt động chuyên môn, khoa học và công nghệ",2020,81.93
"Hoạt động chuyên môn, khoa học và công nghệ",2021,84.79
"Hoạt động chuyên môn, khoa học và công nghệ",2022,88.03
"Hoạt động chuyên môn, khoa học và công nghệ",2023,85.59
"Hoạt động chuyên môn, khoa học và công nghệ",2024,85.66
Hoạt động hành chính và dịch vụ hỗ trợ,2019,43.5
Hoạt động hành chính và dịch vụ hỗ trợ,2020,44.1
Hoạt động hành chính và dịch vụ hỗ trợ,2021,42.8
Hoạt động hành chính và dịch vụ hỗ trợ,2022,42.83
Hoạt động hành chính và dịch vụ hỗ trợ,2023,46.55
Hoạt động hành chính và dịch vụ hỗ trợ,2024,49.34
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2019,85.9
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2020,85.11
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2021,88
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2022,86.6
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2023,86.35
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",2024,88.11
Giáo dục và đào tạo,2019,91.2
Giáo dục và đào tạo,2020,91.35
Giáo dục và đào tạo,2021,91.74
Giáo dục và đào tạo,2022,92.19
Giáo dục và đào tạo,2023,91.4
Giáo dục và đào tạo,2024,91.12
Y tế và hoạt động trợ giúp xã hội,2019,92.2
Y tế và hoạt động trợ giúp xã hội,2020,89.78
Y tế và hoạt động trợ giúp xã hội,2021,92.43
Y tế và hoạt động trợ giúp xã hội,2022,91.34
Y tế và hoạt động trợ giúp xã hội,2023,91.49
Y tế và hoạt động trợ giúp xã hội,2024,92
"Nghệ thuật, vui chơi và giải trí",2019,25.1
"Nghệ thuật, vui chơi và giải trí",2020,27.82
"Nghệ thuật, vui chơi và giải trí",2021,27.05
"Nghệ thuật, vui chơi và giải trí",2022,25.59
"Nghệ thuật, vui chơi và giải trí",2023,23.35
"Nghệ thuật, vui chơi và giải trí",2024,28.42
Hoạt động dịch vụ khác,2019,20.7
Hoạt động dịch vụ khác,2020,21.07
Hoạt động dịch vụ khác,2021,24.53
Hoạt động dịch vụ khác,2022,28.33
Hoạt động dịch vụ khác,2023,23.78
Hoạt động dịch vụ khác,2024,25
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2019,2.2
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2020,2.98
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2021,3.76
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2022,3.33
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2023,2.41
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình",2024,1.97
