Khu vực,Năm,Tỷ lệ lao động việc làm phi chính thức
Hà Nội,2019,56.18
Hà Nội,2020,58.52
Hà Nội,2021,56.09
Hà Nội,2022,53.09
Hà Nội,2023,53.37
Hà Nội,2024,51.83
Vĩnh Phúc,2019,64.62
Vĩnh Phúc,2020,63.1
Vĩnh Phúc,2021,57.63
Vĩnh Phúc,2022,54.08
Vĩnh Phúc,2023,53.77
Vĩnh Phúc,2024,53.18
Bắc Ninh,2019,52.77
Bắc Ninh,2020,57.15
Bắc Ninh,2021,54.22
Bắc Ninh,2022,51.08
Bắc Ninh,2023,55.05
Bắc Ninh,2024,54.25
Quảng Ninh,2019,63.1
Quảng Ninh,2020,62.12
Quảng Ninh,2021,56.92
Quảng Ninh,2022,49.84
Quảng Ninh,2023,49.89
Quảng Ninh,2024,49.47
Hải Dương,2019,62.69
Hải Dương,2020,58.08
Hải Dương,2021,54.71
Hải Dương,2022,50.97
Hải Dương,2023,52.56
Hải Dương,2024,52.01
Hải Phòng,2019,60.33
Hải Phòng,2020,57.17
Hải Phòng,2021,56.73
Hải Phòng,2022,48.52
Hải Phòng,2023,46.81
Hải Phòng,2024,43.08
Hưng Yên,2019,68.89
Hưng Yên,2020,66.51
Hưng Yên,2021,66.34
Hưng Yên,2022,62.33
Hưng Yên,2023,63.22
Hưng Yên,2024,63.76
Thái Bình,2019,77.9
Thái Bình,2020,80.75
Thái Bình,2021,76.99
Thái Bình,2022,63.48
Thái Bình,2023,60.53
Thái Bình,2024,59.62
Hà Nam,2019,73.3
Hà Nam,2020,68.99
Hà Nam,2021,64.6
Hà Nam,2022,62.26
Hà Nam,2023,56.75
Hà Nam,2024,54.05
Nam Định,2019,75.46
Nam Định,2020,76.4
Nam Định,2021,70.17
Nam Định,2022,68.52
Nam Định,2023,66.91
Nam Định,2024,65.37
Ninh Bình,2019,74.78
Ninh Bình,2020,73.17
Ninh Bình,2021,69.26
Ninh Bình,2022,65.31
Ninh Bình,2023,61.85
Ninh Bình,2024,63.1
Hà Giang,2019,89.54
Hà Giang,2020,89.9
Hà Giang,2021,85.17
Hà Giang,2022,78.68
Hà Giang,2023,78.78
Hà Giang,2024,81.69
Cao Bằng,2019,86.58
Cao Bằng,2020,87.5
Cao Bằng,2021,68.47
Cao Bằng,2022,75.61
Cao Bằng,2023,79.71
Cao Bằng,2024,79.54
Bắc Kạn,2019,86.85
Bắc Kạn,2020,87.14
Bắc Kạn,2021,79.3
Bắc Kạn,2022,74.9
Bắc Kạn,2023,76.28
Bắc Kạn,2024,75.28
Tuyên Quang,2019,83.21
Tuyên Quang,2020,82.55
Tuyên Quang,2021,81.01
Tuyên Quang,2022,78.16
Tuyên Quang,2023,77.34
Tuyên Quang,2024,77.64
Lào Cai,2019,82.63
Lào Cai,2020,81.67
Lào Cai,2021,81.04
Lào Cai,2022,79.94
Lào Cai,2023,78.43
Lào Cai,2024,75.39
Yên Bái,2019,86.47
Yên Bái,2020,85.22
Yên Bái,2021,83.37
Yên Bái,2022,82.18
Yên Bái,2023,82.09
Yên Bái,2024,81.69
Thái Nguyên,2019,69.01
Thái Nguyên,2020,63.46
Thái Nguyên,2021,59.07
Thái Nguyên,2022,53.33
Thái Nguyên,2023,54.85
Thái Nguyên,2024,53.61
Lạng Sơn,2019,82.96
Lạng Sơn,2020,79.37
Lạng Sơn,2021,73.09
Lạng Sơn,2022,68.63
Lạng Sơn,2023,70.64
Lạng Sơn,2024,72.86
Bắc Giang,2019,67.08
Bắc Giang,2020,62.81
Bắc Giang,2021,61.31
Bắc Giang,2022,56.77
Bắc Giang,2023,53.61
Bắc Giang,2024,55.76
Phú Thọ,2019,73.89
Phú Thọ,2020,76.45
Phú Thọ,2021,67.35
Phú Thọ,2022,63.53
Phú Thọ,2023,63.73
Phú Thọ,2024,61.45
Điện Biên,2019,86.13
Điện Biên,2020,87.12
Điện Biên,2021,85.4
Điện Biên,2022,85.66
Điện Biên,2023,86.68
Điện Biên,2024,89.14
Lai Châu,2019,88.65
Lai Châu,2020,89.94
Lai Châu,2021,79.06
Lai Châu,2022,82.53
Lai Châu,2023,84.41
Lai Châu,2024,87.49
Sơn La,2019,91.12
Sơn La,2020,89
Sơn La,2021,85.66
Sơn La,2022,83.66
Sơn La,2023,85.62
Sơn La,2024,85.11
Hòa Bình,2019,81.95
Hòa Bình,2020,81.81
Hòa Bình,2021,78.92
Hòa Bình,2022,79.06
Hòa Bình,2023,78.02
Hòa Bình,2024,77.11
Thanh Hóa,2019,77.01
Thanh Hóa,2020,72.08
Thanh Hóa,2021,71.09
Thanh Hóa,2022,67.9
Thanh Hóa,2023,65.57
Thanh Hóa,2024,64.44
Nghệ An,2019,83.96
Nghệ An,2020,83.18
Nghệ An,2021,81.07
Nghệ An,2022,77.5
Nghệ An,2023,76.69
Nghệ An,2024,75.95
Hà Tĩnh,2019,82.87
Hà Tĩnh,2020,82.9
Hà Tĩnh,2021,78.5
Hà Tĩnh,2022,75.88
Hà Tĩnh,2023,76.53
Hà Tĩnh,2024,77.95
Quảng Bình,2019,85.78
Quảng Bình,2020,86.46
Quảng Bình,2021,82.56
Quảng Bình,2022,77.18
Quảng Bình,2023,76.93
Quảng Bình,2024,77.23
Quảng Trị,2019,80.68
Quảng Trị,2020,79.14
Quảng Trị,2021,77.4
Quảng Trị,2022,75.05
Quảng Trị,2023,74.59
Quảng Trị,2024,75.26
Huế,2019,73.68
Huế,2020,73.35
Huế,2021,68.96
Huế,2022,68.15
Huế,2023,67.81
Huế,2024,66.21
Đà Nẵng,2019,54.1
Đà Nẵng,2020,55.16
Đà Nẵng,2021,50.81
Đà Nẵng,2022,52.94
Đà Nẵng,2023,49.35
Đà Nẵng,2024,50.28
Quảng Nam,2019,76.11
Quảng Nam,2020,72.89
Quảng Nam,2021,71.97
Quảng Nam,2022,67.61
Quảng Nam,2023,65.44
Quảng Nam,2024,62.88
Quảng Ngãi,2019,83.15
Quảng Ngãi,2020,79.67
Quảng Ngãi,2021,77.07
Quảng Ngãi,2022,73.78
Quảng Ngãi,2023,73.25
Quảng Ngãi,2024,71.82
Bình Định,2019,83.08
Bình Định,2020,79.57
Bình Định,2021,83.54
Bình Định,2022,79.79
Bình Định,2023,78.24
Bình Định,2024,77.87
Phú Yên,2019,85.28
Phú Yên,2020,86.46
Phú Yên,2021,80.48
Phú Yên,2022,81.16
Phú Yên,2023,79.5
Phú Yên,2024,80.6
Khánh Hòa,2019,73.77
Khánh Hòa,2020,72.47
Khánh Hòa,2021,74.31
Khánh Hòa,2022,74.04
Khánh Hòa,2023,73.19
Khánh Hòa,2024,71
Ninh Thuận,2019,84.17
Ninh Thuận,2020,87.16
Ninh Thuận,2021,86.32
Ninh Thuận,2022,85.13
Ninh Thuận,2023,83.12
Ninh Thuận,2024,83.47
Bình Thuận,2019,80.77
Bình Thuận,2020,80.59
Bình Thuận,2021,82.57
Bình Thuận,2022,81.54
Bình Thuận,2023,79.02
Bình Thuận,2024,78.32
Kon Tum,2019,85.26
Kon Tum,2020,81.6
Kon Tum,2021,81.73
Kon Tum,2022,81.74
Kon Tum,2023,81.65
Kon Tum,2024,80.09
Gia Lai,2019,88.88
Gia Lai,2020,85.74
Gia Lai,2021,88.78
Gia Lai,2022,88.21
Gia Lai,2023,88.27
Gia Lai,2024,88.37
Đắk Lắk,2019,88.33
Đắk Lắk,2020,86.35
Đắk Lắk,2021,86.82
Đắk Lắk,2022,86.61
Đắk Lắk,2023,86.32
Đắk Lắk,2024,84.85
Đắk Nông,2019,88.06
Đắk Nông,2020,87.46
Đắk Nông,2021,90
Đắk Nông,2022,88.77
Đắk Nông,2023,88.4
Đắk Nông,2024,88.14
Lâm Đồng,2019,82.97
Lâm Đồng,2020,84.54
Lâm Đồng,2021,83.8
Lâm Đồng,2022,82.52
Lâm Đồng,2023,82.6
Lâm Đồng,2024,83.05
Bình Phước,2019,76.58
Bình Phước,2020,74.73
Bình Phước,2021,73.35
Bình Phước,2022,72.1
Bình Phước,2023,72.95
Bình Phước,2024,72.87
Tây Ninh,2019,66.68
Tây Ninh,2020,64.36
Tây Ninh,2021,67.84
Tây Ninh,2022,64.27
Tây Ninh,2023,64.39
Tây Ninh,2024,64.11
Bình Dương,2019,31.98
Bình Dương,2020,31.42
Bình Dương,2021,34.49
Bình Dương,2022,32.81
Bình Dương,2023,29.22
Bình Dương,2024,28.39
Đồng Nai,2019,45.12
Đồng Nai,2020,44.47
Đồng Nai,2021,42.45
Đồng Nai,2022,40.3
Đồng Nai,2023,42.83
Đồng Nai,2024,44.61
Bà Rịa - Vũng Tàu,2019,64.81
Bà Rịa - Vũng Tàu,2020,64.59
Bà Rịa - Vũng Tàu,2021,64.68
Bà Rịa - Vũng Tàu,2022,62.96
Bà Rịa - Vũng Tàu,2023,59.09
Bà Rịa - Vũng Tàu,2024,60.96
TP.Hồ Chí Minh,2019,44.21
TP.Hồ Chí Minh,2020,46.45
TP.Hồ Chí Minh,2021,48.03
TP.Hồ Chí Minh,2022,46.57
TP.Hồ Chí Minh,2023,47.94
TP.Hồ Chí Minh,2024,45.57
Long An,2019,66.23
Long An,2020,64.33
Long An,2021,61.84
Long An,2022,60.91
Long An,2023,60.16
Long An,2024,62.7
Tiền Giang,2019,78.21
Tiền Giang,2020,74.69
Tiền Giang,2021,78.25
Tiền Giang,2022,74.72
Tiền Giang,2023,73.01
Tiền Giang,2024,73.02
Bến Tre,2019,85.02
Bến Tre,2020,83.69
Bến Tre,2021,85.56
Bến Tre,2022,86.06
Bến Tre,2023,83.27
Bến Tre,2024,82.44
Trà Vinh,2019,84.16
Trà Vinh,2020,85.06
Trà Vinh,2021,85.83
Trà Vinh,2022,82.56
Trà Vinh,2023,79.36
Trà Vinh,2024,79.59
Vĩnh Long,2019,77.7
Vĩnh Long,2020,78.94
Vĩnh Long,2021,77.76
Vĩnh Long,2022,77.31
Vĩnh Long,2023,75.57
Vĩnh Long,2024,76.02
Đồng Tháp,2019,86.34
Đồng Tháp,2020,85.05
Đồng Tháp,2021,84.08
Đồng Tháp,2022,79.73
Đồng Tháp,2023,80.1
Đồng Tháp,2024,78.78
An Giang,2019,82.15
An Giang,2020,86.35
An Giang,2021,85.91
An Giang,2022,83
An Giang,2023,81.15
An Giang,2024,83.14
Kiên Giang,2019,85.64
Kiên Giang,2020,85.48
Kiên Giang,2021,84.69
Kiên Giang,2022,82.17
Kiên Giang,2023,81.26
Kiên Giang,2024,79.81
Cần Thơ,2019,82.34
Cần Thơ,2020,73.92
Cần Thơ,2021,73.61
Cần Thơ,2022,73.13
Cần Thơ,2023,71.45
Cần Thơ,2024,69.79
Hậu Giang,2019,84.64
Hậu Giang,2020,81.26
Hậu Giang,2021,83.39
Hậu Giang,2022,80.94
Hậu Giang,2023,82.21
Hậu Giang,2024,82.79
Sóc Trăng,2019,86.05
Sóc Trăng,2020,84.28
Sóc Trăng,2021,87.14
Sóc Trăng,2022,85.22
Sóc Trăng,2023,84.17
Sóc Trăng,2024,83.85
Bạc Liêu,2019,87.96
Bạc Liêu,2020,88.94
Bạc Liêu,2021,88.52
Bạc Liêu,2022,87.43
Bạc Liêu,2023,86.1
Bạc Liêu,2024,86.99
Cà Mau,2019,86.68
Cà Mau,2020,87.63
Cà Mau,2021,84.48
Cà Mau,2022,83.96
Cà Mau,2023,81.93
Cà Mau,2024,81.71
