Năm,Khu vực kinh tế,Tỷ lệ lao động việc làm phi chính thức
2019,"Nông, lâm nghiệp và thủy sản",99.27
2019,Công nghiệp - Xây dựng,54.48
2019,Dịch vụ,57.53
2020,"Nông, lâm nghiệp và thủy sản",98.82
2020,Công nghiệp - Xây dựng,53.95
2020,Dịch vụ,58.08
2021,"Nông, lâm nghiệp và thủy sản",98.81
2021,Công nghiệp - Xây dựng,53.75
2021,Dịch vụ,58.22
2022,"Nông, lâm nghiệp và thủy sản",98.66
2022,Công nghiệp - Xây dựng,48.29
2022,Dịch vụ,57.69
2023,"Nông, lâm nghiệp và thủy sản",98.72
2023,Công nghiệp - Xây dựng,47.58
2023,Dịch vụ,57.09
2024,"Nông, lâm nghiệp và thủy sản",98.59
2024,Công nghiệp - Xây dựng,46.9
2024,Dịch vụ,56.71
