Ngành nghề,Năm,Tỷ lệ lao động việc làm phi chính thức
Nhà lãnh đạo,2019,5.16
Nhà lãnh đạo,2020,6.78
Nhà lãnh đạo,2021,5.68
Nhà lãnh đạo,2022,4.52
Nhà lãnh đạo,2023,1.62
Nhà lãnh đạo,2024,2.47
Chuyên môn kỹ thuật bậc cao,2019,9.56
Chuyên môn kỹ thuật bậc cao,2020,9.75
Chuyên môn kỹ thuật bậc cao,2021,9.04
Chuyên môn kỹ thuật bậc cao,2022,5.27
Chuyên môn kỹ thuật bậc cao,2023,4.95
Chuyên môn kỹ thuật bậc cao,2024,4.53
Chuyên môn kỹ thuật bậc trung,2019,22.63
Chuyên môn kỹ thuật bậc trung,2020,20.07
Chuyên môn kỹ thuật bậc trung,2021,18.2
Chuyên môn kỹ thuật bậc trung,2022,13.69
Chuyên môn kỹ thuật bậc trung,2023,12.74
Chuyên môn kỹ thuật bậc trung,2024,12.47
Nhân viên,2019,28.71
Nhân viên,2020,30.9
Nhân viên,2021,28.36
Nhân viên,2022,19.33
Nhân viên,2023,18.06
Nhân viên,2024,18.67
"Dịch vụ cá nhân, bảo vệ bán hàng",2019,75.32
"Dịch vụ cá nhân, bảo vệ bán hàng",2020,75.39
"Dịch vụ cá nhân, bảo vệ bán hàng",2021,75.89
"Dịch vụ cá nhân, bảo vệ bán hàng",2022,75.86
"Dịch vụ cá nhân, bảo vệ bán hàng",2023,75.51
"Dịch vụ cá nhân, bảo vệ bán hàng",2024,75.65
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2019,98.48
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2020,97.38
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2021,98.38
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2022,98.21
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2023,98.19
"Lao động có kỹ năng trong nông nghiệp, lâm nghệp và thủy sản",2024,97.97
Thợ thủ công và các thợ khác có liên quan,2019,77.69
Thợ thủ công và các thợ khác có liên quan,2020,78.59
Thợ thủ công và các thợ khác có liên quan,2021,78.62
Thợ thủ công và các thợ khác có liên quan,2022,75.66
Thợ thủ công và các thợ khác có liên quan,2023,74.36
Thợ thủ công và các thợ khác có liên quan,2024,24.62
"Thợ lắp ráp và vận hành máy móc, thiết bị",2019,35.26
"Thợ lắp ráp và vận hành máy móc, thiết bị",2020,35.63
"Thợ lắp ráp và vận hành máy móc, thiết bị",2021,31.84
"Thợ lắp ráp và vận hành máy móc, thiết bị",2022,27.15
"Thợ lắp ráp và vận hành máy móc, thiết bị",2023,25.55
"Thợ lắp ráp và vận hành máy móc, thiết bị",2024,91.4
Nghề giản đơn,2019,96.05
Nghề giản đơn,2020,95.87
Nghề giản đơn,2021,94.05
Nghề giản đơn,2022,92.36
Nghề giản đơn,2023,92.11
Nghề giản đơn,2024,1.18
Khác,2019,3.16
Khác,2020,2.43
Khác,2021,4.4
Khác,2022,1.44
Khác,2023,1.51
Khác,2024,1.17
