Khu vực,Năm,Tỷ suất sinh thô,Tỷ suất chết thô,Tỷ lệ tăng tự nhiên
An Giang,2019,11.9,9.7,2.3
An Giang,2020,12.51,9.27,3.24
An Giang,2021,12.1,8.1,3.99
An Giang,2022,11.7,9.03,2.67
An Giang,2023,10.8,6.85,3.95
An Giang,2024,10.4,10.63,-0.23
Bà Rịa - Vũng Tàu,2019,14.8,5,9.8
Bà Rịa - Vũng Tàu,2020,15.75,4.77,10.99
Bà Rịa - Vũng Tàu,2021,13.9,5.4,8.48
Bà Rịa - Vũng Tàu,2022,15.7,4.65,11.05
Bà Rịa - Vũng Tàu,2023,11.5,5.35,6.15
Bà Rịa - Vũng Tàu,2024,10.92,3.17,7.75
Bình Dương,2019,17.6,3.4,14.2
Bình Dương,2020,18.47,3.3,15.17
Bình Dương,2021,18.2,3.6,14.63
Bình Dương,2022,16.4,4.27,12.13
Bình Dương,2023,17.56,5.68,11.88
Bình Dương,2024,15.25,2.72,12.54
Bình Phước,2019,17.6,4.7,12.9
Bình Phước,2020,17.49,4.48,13.01
Bình Phước,2021,16.9,6.7,10.21
Bình Phước,2022,17.5,6.94,10.56
Bình Phước,2023,15.6,4.36,11.24
Bình Phước,2024,14.93,5.51,9.42
Bình Thuận,2019,14.6,5.8,8.7
Bình Thuận,2020,11.86,5.59,6.27
Bình Thuận,2021,16.1,6.3,9.72
Bình Thuận,2022,15.4,6.93,8.47
Bình Thuận,2023,15.92,5.74,10.18
Bình Thuận,2024,14.28,4.77,9.51
Bình Định,2019,14.5,7.1,7.5
Bình Định,2020,15.1,6.79,8.31
Bình Định,2021,14.5,7.4,7.14
Bình Định,2022,13.3,5.2,8.1
Bình Định,2023,12.58,7.3,5.29
Bình Định,2024,12.14,8.93,3.21
Bạc Liêu,2019,12.8,6.2,6.6
Bạc Liêu,2020,12.36,5.99,6.36
Bạc Liêu,2021,12.6,5.2,7.46
Bạc Liêu,2022,11.4,7.37,4.03
Bạc Liêu,2023,11.4,5.57,5.83
Bạc Liêu,2024,11.48,4.12,7.37
Bắc Giang,2019,17.2,6.3,10.9
Bắc Giang,2020,17.7,6.03,11.66
Bắc Giang,2021,17.6,4,13.56
Bắc Giang,2022,17.5,5.36,12.14
Bắc Giang,2023,16,5.28,10.72
Bắc Giang,2024,15.54,4.07,11.47
Bắc Kạn,2019,13.7,7.8,5.9
Bắc Kạn,2020,14.69,7.44,7.25
Bắc Kạn,2021,13.8,9.1,4.63
Bắc Kạn,2022,13.4,7.68,5.72
Bắc Kạn,2023,12.27,5,7.27
Bắc Kạn,2024,11.56,8.65,2.91
Bắc Ninh,2019,24.8,5.6,19.2
Bắc Ninh,2020,23.03,5.38,17.65
Bắc Ninh,2021,23.4,5.4,17.95
Bắc Ninh,2022,21.1,5.6,15.5
Bắc Ninh,2023,18.77,4.27,14.5
Bắc Ninh,2024,18.59,5.45,13.14
Bến Tre,2019,11.7,8.2,3.6
Bến Tre,2020,11.98,7.86,4.12
Bến Tre,2021,10.1,6.4,3.71
Bến Tre,2022,9.9,8.51,1.39
Bến Tre,2023,10.11,7.06,3.05
Bến Tre,2024,9.53,7.8,-0.94
