Khu vực,Năm,Tỷ lệ tham gia BHTN
Hà Nội,2019,41.2
Hà Nội,2020,42
Hà Nội,2021,45.6
Hà Nội,2022,47.8
Hà Nội,2023,48.5
Vĩnh Phúc,2019,29.6
Vĩnh Phúc,2020,32.7
Vĩnh Phúc,2021,37.8
Vĩnh Phúc,2022,38.1
Vĩnh Phúc,2023,37.7
Bắc Ninh,2019,50.5
Bắc Ninh,2020,55.3
Bắc Ninh,2021,54.6
Bắc Ninh,2022,51.6
Bắc Ninh,2023,52.6
Quảng Ninh,2019,31.3
Quảng Ninh,2020,32.6
Quảng Ninh,2021,34.9
Quảng Ninh,2022,35.5
Quảng Ninh,2023,36.8
Hải Dương,2019,32.3
Hải Dương,2020,34
Hải Dương,2021,38.7
Hải Dương,2022,38.2
Hải Dương,2023,39.2
Hải Phòng,2019,36.3
Hải Phòng,2020,37.6
Hải Phòng,2021,42.4
Hải Phòng,2022,43.7
Hải Phòng,2023,44.9
Hưng Yên,2019,27.7
Hưng Yên,2020,28.8
Hưng Yên,2021,33.5
Hưng Yên,2022,34.6
Hưng Yên,2023,34.7
Thái Bình,2019,16.3
Thái Bình,2020,16.8
Thái Bình,2021,21.7
Thái Bình,2022,21.9
Thái Bình,2023,22.4
Hà Nam,2019,26.2
Hà Nam,2020,28.6
Hà Nam,2021,33.6
Hà Nam,2022,34
Hà Nam,2023,35.5
Nam Ðịnh,2019,17.2
Nam Ðịnh,2020,17.6
Nam Ðịnh,2021,21.3
Nam Ðịnh,2022,21.2
Nam Ðịnh,2023,21.6
Ninh Bình,2019,21.2
Ninh Bình,2020,21.6
Ninh Bình,2021,27
Ninh Bình,2022,27.7
Ninh Bình,2023,28.6
Hà Giang,2019,6.6
Hà Giang,2020,6.6
Hà Giang,2021,9.7
Hà Giang,2022,9.3
Hà Giang,2023,9.7
Cao Bằng,2019,7.8
Cao Bằng,2020,7.7
Cao Bằng,2021,16.5
Cao Bằng,2022,13.1
Cao Bằng,2023,12.7
Bắc Kạn,2019,7.9
Bắc Kạn,2020,8.1
Bắc Kạn,2021,11.6
Bắc Kạn,2022,11.3
Bắc Kạn,2023,11.7
Tuyên Quang,2019,8.8
Tuyên Quang,2020,9.2
Tuyên Quang,2021,13.4
Tuyên Quang,2022,13.7
Tuyên Quang,2023,14.3
Lào Cai,2019,11.9
Lào Cai,2020,11.5
Lào Cai,2021,13.1
Lào Cai,2022,13.2
Lào Cai,2023,14
Yên Bái,2019,8.2
Yên Bái,2020,8.3
Yên Bái,2021,12
Yên Bái,2022,12.4
Yên Bái,2023,13.1
Thái Nguyên,2019,28.2
Thái Nguyên,2020,27.1
Thái Nguyên,2021,34.3
Thái Nguyên,2022,33.5
Thái Nguyên,2023,34.2
Lạng Sơn,2019,8.6
Lạng Sơn,2020,8.9
Lạng Sơn,2021,13.5
Lạng Sơn,2022,13.5
Lạng Sơn,2023,14.2
Bắc Giang,2019,23.7
Bắc Giang,2020,27.5
Bắc Giang,2021,33.8
Bắc Giang,2022,33.4
Bắc Giang,2023,34.1
Phú Thọ,2019,18.1
Phú Thọ,2020,18.6
Phú Thọ,2021,25
Phú Thọ,2022,24
Phú Thọ,2023,25.2
Ðiện Biên,2019,8.3
Ðiện Biên,2020,8.4
Ðiện Biên,2021,9.8
Ðiện Biên,2022,9.1
Ðiện Biên,2023,9.3
Lai Châu,2019,8.3
Lai Châu,2020,8.1
Lai Châu,2021,13.9
Lai Châu,2022,11.2
Lai Châu,2023,11.2
Sơn La,2019,6.5
Sơn La,2020,6.5
Sơn La,2021,8.9
Sơn La,2022,8.3
Sơn La,2023,8.3
Hòa Bình,2019,11.7
Hòa Bình,2020,12
Hòa Bình,2021,14.5
Hòa Bình,2022,14
Hòa Bình,2023,14.8
Thanh Hóa,2019,14.2
Thanh Hóa,2020,14.8
Thanh Hóa,2021,18.8
Thanh Hóa,2022,19.5
Thanh Hóa,2023,20
Nghệ An,2019,10.7
Nghệ An,2020,11.1
Nghệ An,2021,14.4
Nghệ An,2022,15
Nghệ An,2023,15.7
Hà Tĩnh,2019,10.1
Hà Tĩnh,2020,10.9
Hà Tĩnh,2021,15.4
Hà Tĩnh,2022,15.5
Hà Tĩnh,2023,16.2
Quảng Bình,2019,11.4
Quảng Bình,2020,11.7
Quảng Bình,2021,14.4
Quảng Bình,2022,14.6
Quảng Bình,2023,15.2
Quảng Trị,2019,12.6
Quảng Trị,2020,12.6
Quảng Trị,2021,13.9
Quảng Trị,2022,14.4
Quảng Trị,2023,14.9
Huế,2019,18.2
Huế,2020,18.8
Huế,2021,20
Huế,2022,20.1
Huế,2023,20.5
Ðà Nẵng,2019,39.8
Ðà Nẵng,2020,36.4
Ðà Nẵng,2021,36.9
Ðà Nẵng,2022,37.1
Ðà Nẵng,2023,38
Quảng Nam,2019,18.9
