Khu vực,Năm,Tỷ lệ tham gia BHXH
Hà Nội,2019,43.6
Hà Nội,2020,44.7
Hà Nội,2021,48.9
Hà Nội,2022,51.3
Hà Nội,2023,52.7
Vĩnh Phúc,2019,32.9
Vĩnh Phúc,2020,35.9
Vĩnh Phúc,2021,42.9
Vĩnh Phúc,2022,42.6
Vĩnh Phúc,2023,43.1
Bắc Ninh,2019,52.8
Bắc Ninh,2020,57.9
Bắc Ninh,2021,57.7
Bắc Ninh,2022,55
Bắc Ninh,2023,56.9
Quảng Ninh,2019,34.3
Quảng Ninh,2020,36.8
Quảng Ninh,2021,39.9
Quảng Ninh,2022,40.5
Quảng Ninh,2023,43.2
Hải Dương,2019,35.4
Hải Dương,2020,38.5
Hải Dương,2021,44.7
Hải Dương,2022,44.4
Hải Dương,2023,46.4
Hải Phòng,2019,39.2
Hải Phòng,2020,41.1
Hải Phòng,2021,46.4
Hải Phòng,2022,47.8
Hải Phòng,2023,50.1
Hưng Yên,2019,30.2
Hưng Yên,2020,31.4
Hưng Yên,2021,37
Hưng Yên,2022,38
Hưng Yên,2023,38.7
Thái Bình,2019,18.5
Thái Bình,2020,20.2
Thái Bình,2021,27
Thái Bình,2022,28.4
Thái Bình,2023,29.7
Hà Nam,2019,28.6
Hà Nam,2020,31.9
Hà Nam,2021,38.3
Hà Nam,2022,38.9
Hà Nam,2023,41.8
Nam Ðịnh,2019,19.2
Nam Ðịnh,2020,20.4
Nam Ðịnh,2021,24.8
Nam Ðịnh,2022,24.9
Nam Ðịnh,2023,26
Ninh Bình,2019,24.2
Ninh Bình,2020,25.5
Ninh Bình,2021,32.4
Ninh Bình,2022,32.9
Ninh Bình,2023,35.1
Hà Giang,2019,9.1
Hà Giang,2020,10
Hà Giang,2021,16
Hà Giang,2022,14.9
Hà Giang,2023,14.8
Cao Bằng,2019,12.9
Cao Bằng,2020,14
Cao Bằng,2021,32.6
Cao Bằng,2022,25.1
Cao Bằng,2023,23.1
Bắc Kạn,2019,12.4
Bắc Kạn,2020,14.5
Bắc Kạn,2021,23.1
Bắc Kạn,2022,21.5
Bắc Kạn,2023,21.3
Tuyên Quang,2019,11.7
Tuyên Quang,2020,13.8
Tuyên Quang,2021,20
Tuyên Quang,2022,20.1
Tuyên Quang,2023,20.1
Lào Cai,2019,14.9
Lào Cai,2020,15
Lào Cai,2021,17.6
Lào Cai,2022,17.5
Lào Cai,2023,17.5
Yên Bái,2019,11.7
Yên Bái,2020,13.1
Yên Bái,2021,20.7
Yên Bái,2022,21.4
Yên Bái,2023,21.4
Thái Nguyên,2019,30.6
Thái Nguyên,2020,30.7
Thái Nguyên,2021,40.5
Thái Nguyên,2022,39.6
Thái Nguyên,2023,39.3
Lạng Sơn,2019,12.5
Lạng Sơn,2020,13.5
Lạng Sơn,2021,21.2
Lạng Sơn,2022,20.6
Lạng Sơn,2023,20.5
Bắc Giang,2019,25.7
Bắc Giang,2020,30.5
Bắc Giang,2021,38.3
Bắc Giang,2022,39.1
Bắc Giang,2023,38.3
Phú Thọ,2019,21.2
Phú Thọ,2020,23.3
Phú Thọ,2021,33.1
Phú Thọ,2022,32.4
Phú Thọ,2023,32.1
Ðiện Biên,2019,12.6
Ðiện Biên,2020,14
Ðiện Biên,2021,17.5
Ðiện Biên,2022,15.7
Ðiện Biên,2023,15.3
Lai Châu,2019,11.4
Lai Châu,2020,12.3
Lai Châu,2021,23.5
Lai Châu,2022,17.7
Lai Châu,2023,17
Sơn La,2019,9.8
Sơn La,2020,11.1
Sơn La,2021,17.1
Sơn La,2022,14.8
Sơn La,2023,14.6
Hòa Bình,2019,14.6
Hòa Bình,2020,16.1
Hòa Bình,2021,19.4
Hòa Bình,2022,18.4
Hòa Bình,2023,18.3
Thanh Hóa,2019,16.8
Thanh Hóa,2020,18.7
Thanh Hóa,2021,24.1
Thanh Hóa,2022,25
Thanh Hóa,2023,26.5
Nghệ An,2019,14.4
Nghệ An,2020,16.3
Nghệ An,2021,22.1
Nghệ An,2022,23.1
Nghệ An,2023,25
Hà Tĩnh,2019,13.9
Hà Tĩnh,2020,16.8
Hà Tĩnh,2021,25.5
Hà Tĩnh,2022,27.6
Hà Tĩnh,2023,30.1
Quảng Bình,2019,15.8
Quảng Bình,2020,18.1
Quảng Bình,2021,24
Quảng Bình,2022,24
Quảng Bình,2023,25.8
Quảng Trị,2019,16.5
Quảng Trị,2020,18.9
Quảng Trị,2021,21.6
