Khu vực,Năm,Tỷ lệ thất nghiệp
Hà Nội,2019,1.78
Hà Nội,2020,2.11
Hà Nội,2021,2.68
Hà Nội,2022,2.22
Hà Nội,2023,2.01
Hà Nội,2024,1.77
Vĩnh Phúc,2019,1.79
Vĩnh Phúc,2020,2.09
Vĩnh Phúc,2021,1.48
Vĩnh Phúc,2022,1.46
Vĩnh Phúc,2023,1.72
Vĩnh Phúc,2024,1.71
Bắc Ninh,2019,2.48
Bắc Ninh,2020,2.19
Bắc Ninh,2021,2.7
Bắc Ninh,2022,2.55
Bắc Ninh,2023,2.68
Bắc Ninh,2024,2.31
Quảng Ninh,2019,2.73
Quảng Ninh,2020,3.22
Quảng Ninh,2021,2.23
Quảng Ninh,2022,2.21
Quảng Ninh,2023,2.22
Quảng Ninh,2024,2.15
Hải Dương,2019,1.99
Hải Dương,2020,1.7
Hải Dương,2021,1.18
Hải Dương,2022,1.5
Hải Dương,2023,1.33
Hải Dương,2024,1.27
Hải Phòng,2019,2.06
Hải Phòng,2020,2.37
Hải Phòng,2021,2.41
Hải Phòng,2022,2.36
Hải Phòng,2023,2.35
Hải Phòng,2024,2.15
Hưng Yên,2019,2.08
Hưng Yên,2020,2.67
Hưng Yên,2021,2.05
Hưng Yên,2022,1.86
Hưng Yên,2023,1.89
Hưng Yên,2024,1.66
Thái Bình,2019,1.32
Thái Bình,2020,1.24
Thái Bình,2021,1.72
Thái Bình,2022,1.13
Thái Bình,2023,0.99
Thái Bình,2024,1.21
Hà Nam,2019,1.83
Hà Nam,2020,1.76
Hà Nam,2021,1.91
Hà Nam,2022,0.91
Hà Nam,2023,1.34
Hà Nam,2024,1.89
Nam Định,2019,1.31
Nam Định,2020,1.68
Nam Định,2021,1.71
Nam Định,2022,1.65
Nam Định,2023,1.57
Nam Định,2024,1.25
Ninh Bình,2019,0.52
Ninh Bình,2020,1.36
Ninh Bình,2021,1.34
Ninh Bình,2022,1.32
Ninh Bình,2023,1.28
Ninh Bình,2024,1.07
Hà Giang,2019,0.93
Hà Giang,2020,1.03
Hà Giang,2021,4.36
Hà Giang,2022,4.25
Hà Giang,2023,3.14
Hà Giang,2024,2.89
Cao Bằng,2019,0.79
Cao Bằng,2020,0.96
Cao Bằng,2021,4.29
Cao Bằng,2022,3.73
Cao Bằng,2023,3.13
Cao Bằng,2024,2.41
Bắc Kạn,2019,1.07
Bắc Kạn,2020,0.88
Bắc Kạn,2021,3.86
Bắc Kạn,2022,3.16
Bắc Kạn,2023,3.42
Bắc Kạn,2024,3.23
Tuyên Quang,2019,1.44
Tuyên Quang,2020,1.4
Tuyên Quang,2021,3.64
Tuyên Quang,2022,3.56
Tuyên Quang,2023,3.64
Tuyên Quang,2024,3.54
Lào Cai,2019,1.81
Lào Cai,2020,1.62
Lào Cai,2021,1.94
Lào Cai,2022,1.47
Lào Cai,2023,1.49
Lào Cai,2024,1.6
Yên Bái,2019,1.66
Yên Bái,2020,0.73
Yên Bái,2021,3.02
Yên Bái,2022,2.89
Yên Bái,2023,2.71
Yên Bái,2024,2.82
Thái Nguyên,2019,1.61
Thái Nguyên,2020,1.7
Thái Nguyên,2021,1.57
Thái Nguyên,2022,1.47
Thái Nguyên,2023,1.78
Thái Nguyên,2024,1.66
Lạng Sơn,2019,2.82
Lạng Sơn,2020,1.84
Lạng Sơn,2021,7.82
Lạng Sơn,2022,6.34
Lạng Sơn,2023,4.28
Lạng Sơn,2024,4.17
Bắc Giang,2019,1.37
Bắc Giang,2020,0.79
Bắc Giang,2021,1.64
