Loại khu vực,Vùng,Năm,Tỷ lệ thất nghiệp
Thành thị,Đồng bằng sông Hồng,2019,2.53
Thành thị,Đồng bằng sông Hồng,2020,3.28
Thành thị,Đồng bằng sông Hồng,2021,3.14
Thành thị,Đồng bằng sông Hồng,2022,2.68
Thành thị,Đồng bằng sông Hồng,2023,2.67
Thành thị,Đồng bằng sông Hồng,2024,2.31
Thành thị,Trung du và miền núi phía Bắc,2019,2.93
Thành thị,Trung du và miền núi phía Bắc,2020,3.02
Thành thị,Trung du và miền núi phía Bắc,2021,2.72
Thành thị,Trung du và miền núi phía Bắc,2022,1.92
Thành thị,Trung du và miền núi phía Bắc,2023,2.1
Thành thị,Trung du và miền núi phía Bắc,2024,2.21
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2019,4.09
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2020,5.75
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2021,4.46
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2022,2.72
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2023,2.61
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2024,2.17
Thành thị,Tây Nguyên,2019,2.52
Thành thị,Tây Nguyên,2020,2.67
Thành thị,Tây Nguyên,2021,1.73
Thành thị,Tây Nguyên,2022,1.04
Thành thị,Tây Nguyên,2023,0.92
Thành thị,Tây Nguyên,2024,0.85
Thành thị,Đông Nam Bộ,2019,2.88
Thành thị,Đông Nam Bộ,2020,3.78
Thành thị,Đông Nam Bộ,2021,5.51
Thành thị,Đông Nam Bộ,2022,3.2
Thành thị,Đông Nam Bộ,2023,2.96
Thành thị,Đông Nam Bộ,2024,2.79
Thành thị,Đồng bằng sông Cửu Long,2019,3.86
Thành thị,Đồng bằng sông Cửu Long,2020,3.73
Thành thị,Đồng bằng sông Cửu Long,2021,4.72
Thành thị,Đồng bằng sông Cửu Long,2022,3.35
Thành thị,Đồng bằng sông Cửu Long,2023,3.57
Thành thị,Đồng bằng sông Cửu Long,2024,3.57
Nông thôn,Đồng bằng sông Hồng,2019,1.46
Nông thôn,Đồng bằng sông Hồng,2020,1.45
Nông thôn,Đồng bằng sông Hồng,2021,1.6
Nông thôn,Đồng bằng sông Hồng,2022,1.49
Nông thôn,Đồng bằng sông Hồng,2023,1.35
Nông thôn,Đồng bằng sông Hồng,2024,1.31
Nông thôn,Trung du và miền núi phía Bắc,2019,0.98
Nông thôn,Trung du và miền núi phía Bắc,2020,0.67
Nông thôn,Trung du và miền núi phía Bắc,2021,2.34
Nông thôn,Trung du và miền núi phía Bắc,2022,2.15
Nông thôn,Trung du và miền núi phía Bắc,2023,1.86
Nông thôn,Trung du và miền núi phía Bắc,2024,1.82
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2019,1.86
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2020,2.14
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2021,2.72
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2022,2.15
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2023,2.25
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2024,2.49
Nông thôn,Tây Nguyên,2019,0.94
Nông thôn,Tây Nguyên,2020,1.29
Nông thôn,Tây Nguyên,2021,0.67
Nông thôn,Tây Nguyên,2022,0.53
Nông thôn,Tây Nguyên,2023,0.61
Nông thôn,Tây Nguyên,2024,0.85
Nông thôn,Đông Nam Bộ,2019,1.76
Nông thôn,Đông Nam Bộ,2020,2.2
Nông thôn,Đông Nam Bộ,2021,2.95
Nông thôn,Đông Nam Bộ,2022,2.21
Nông thôn,Đông Nam Bộ,2023,2.82
Nông thôn,Đông Nam Bộ,2024,2.52
Nông thôn,Đồng bằng sông Cửu Long,2019,2.6
Nông thôn,Đồng bằng sông Cửu Long,2020,2.53
Nông thôn,Đồng bằng sông Cửu Long,2021,3.82
Nông thôn,Đồng bằng sông Cửu Long,2022,2.56
Nông thôn,Đồng bằng sông Cửu Long,2023,2.55
Nông thôn,Đồng bằng sông Cửu Long,2024,2.69
