Loại khu vực,Vùng,Năm,Tỷ lệ thiếu việc làm
Thành thị,Đồng bằng sông Hồng,2019,0.7
Thành thị,Đồng bằng sông Hồng,2020,0.93
Thành thị,Đồng bằng sông Hồng,2021,1.42
Thành thị,Đồng bằng sông Hồng,2022,0.78
Thành thị,Đồng bằng sông Hồng,2023,0.66
Thành thị,Đồng bằng sông Hồng,2024,0.45
Thành thị,Trung du và miền núi phía Bắc,2019,1.12
Thành thị,Trung du và miền núi phía Bắc,2020,2.08
Thành thị,Trung du và miền núi phía Bắc,2021,1.78
Thành thị,Trung du và miền núi phía Bắc,2022,2.34
Thành thị,Trung du và miền núi phía Bắc,2023,1.18
Thành thị,Trung du và miền núi phía Bắc,2024,1.22
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2019,0.97
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2020,2.28
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2021,4.13
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2022,2.74
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2023,1.95
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,2024,1.73
Thành thị,Tây Nguyên,2019,0.96
Thành thị,Tây Nguyên,2020,3.06
Thành thị,Tây Nguyên,2021,3.25
Thành thị,Tây Nguyên,2022,2.03
Thành thị,Tây Nguyên,2023,2.28
Thành thị,Tây Nguyên,2024,1.94
Thành thị,Đông Nam Bộ,2019,0.37
Thành thị,Đông Nam Bộ,2020,1.53
Thành thị,Đông Nam Bộ,2021,4.28
Thành thị,Đông Nam Bộ,2022,1.23
Thành thị,Đông Nam Bộ,2023,1.88
Thành thị,Đông Nam Bộ,2024,1.09
Thành thị,Đồng bằng sông Cửu Long,2019,1.49
Thành thị,Đồng bằng sông Cửu Long,2020,1.87
Thành thị,Đồng bằng sông Cửu Long,2021,3.78
Thành thị,Đồng bằng sông Cửu Long,2022,2.78
Thành thị,Đồng bằng sông Cửu Long,2023,1.87
Thành thị,Đồng bằng sông Cửu Long,2024,2.64
Nông thôn,Đồng bằng sông Hồng,2019,0.84
Nông thôn,Đồng bằng sông Hồng,2020,1.57
Nông thôn,Đồng bằng sông Hồng,2021,1.55
Nông thôn,Đồng bằng sông Hồng,2022,1.02
Nông thôn,Đồng bằng sông Hồng,2023,0.95
Nông thôn,Đồng bằng sông Hồng,2024,0.82
Nông thôn,Trung du và miền núi phía Bắc,2019,1.89
Nông thôn,Trung du và miền núi phía Bắc,2020,2.39
Nông thôn,Trung du và miền núi phía Bắc,2021,1.96
Nông thôn,Trung du và miền núi phía Bắc,2022,2.13
Nông thôn,Trung du và miền núi phía Bắc,2023,1.92
Nông thôn,Trung du và miền núi phía Bắc,2024,2.1
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2019,2.32
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2020,3.34
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2021,3.43
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2022,3.2
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2023,3.02
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,2024,2.87
Nông thôn,Tây Nguyên,2019,1.78
Nông thôn,Tây Nguyên,2020,5.99
Nông thôn,Tây Nguyên,2021,3.68
Nông thôn,Tây Nguyên,2022,3.12
Nông thôn,Tây Nguyên,2023,2.89
Nông thôn,Tây Nguyên,2024,3.41
Nông thôn,Đông Nam Bộ,2019,0.64
Nông thôn,Đông Nam Bộ,2020,1.78
Nông thôn,Đông Nam Bộ,2021,2.74
Nông thôn,Đông Nam Bộ,2022,1.74
Nông thôn,Đông Nam Bộ,2023,1.74
Nông thôn,Đông Nam Bộ,2024,1.41
Nông thôn,Đồng bằng sông Cửu Long,2019,3.17
Nông thôn,Đồng bằng sông Cửu Long,2020,3.97
Nông thôn,Đồng bằng sông Cửu Long,2021,4.51
Nông thôn,Đồng bằng sông Cửu Long,2022,3.89
Nông thôn,Đồng bằng sông Cửu Long,2023,3.23
Nông thôn,Đồng bằng sông Cửu Long,2024,3.02
