Trình độ,Năm,Tỷ lệ thiếu việc làm
Sơ cấp,2019,0.88
Sơ cấp,2020,2.28
Sơ cấp,2021,3.34
Sơ cấp,2022,2.14
Sơ cấp,2023,1.76
Sơ cấp,2024,1.38
Trung cấp,2019,0.9
Trung cấp,2020,1.59
Trung cấp,2021,2.45
Trung cấp,2022,1.53
Trung cấp,2023,1.36
Trung cấp,2024,1.15
Cao đẳng,2019,1.07
Cao đẳng,2020,1.52
Cao đẳng,2021,2.73
Cao đẳng,2022,1.41
Cao đẳng,2023,1.18
Cao đẳng,2024,0.86
Đại học trở lên,2019,0.64
Đại học trở lên,2020,1.04
Đại học trở lên,2021,1.45
Đại học trở lên,2022,0.81
Đại học trở lên,2023,0.78
Đại học trở lên,2024,0.76
