Khu vực,Năm,Tỷ số giới tính
Hà Nội,2019,98.32
Hà Nội,2020,98.09
Hà Nội,2021,98.41
Hà Nội,2022,97.63
Hà Nội,2023,96.65
Hà Nội,2024,98.97
Vĩnh Phúc,2019,99.32
Vĩnh Phúc,2020,99.35
Vĩnh Phúc,2021,99.35
Vĩnh Phúc,2022,99.74
Vĩnh Phúc,2023,97.97
Vĩnh Phúc,2024,99.7
Bắc Ninh,2019,97.62
Bắc Ninh,2020,97.07
Bắc Ninh,2021,98.31
Bắc Ninh,2022,96.81
Bắc Ninh,2023,99.14
Bắc Ninh,2024,96.46
Quảng Ninh,2019,103.48
Quảng Ninh,2020,103.27
Quảng Ninh,2021,101.88
Quảng Ninh,2022,102.66
Quảng Ninh,2023,102.34
Quảng Ninh,2024,101.42
Hải Dương,2019,98.8
Hải Dương,2020,99.6
Hải Dương,2021,99.6
Hải Dương,2022,100.43
Hải Dương,2023,98.55
Hải Dương,2024,100.4
Hải Phòng,2019,98.74
Hải Phòng,2020,97.86
Hải Phòng,2021,97.86
Hải Phòng,2022,98.35
Hải Phòng,2023,95.66
Hải Phòng,2024,98.38
Hưng Yên,2019,100.25
Hưng Yên,2020,100.58
Hưng Yên,2021,100.58
Hưng Yên,2022,100.87
Hưng Yên,2023,99.13
Hưng Yên,2024,100.92
Thái Bình,2019,94.84
Thái Bình,2020,95.05
Thái Bình,2021,96
Thái Bình,2022,97.28
Thái Bình,2023,93.1
Thái Bình,2024,95.45
Hà Nam,2019,96.97
Hà Nam,2020,97.13
Hà Nam,2021,97.21
Hà Nam,2022,98.1
Hà Nam,2023,94.8
Hà Nam,2024,97.22
Nam Định,2019,96.05
Nam Định,2020,96.05
Nam Định,2021,96
Nam Định,2022,96.05
Nam Định,2023,90.52
Nam Định,2024,96.08
Ninh Bình,2019,99.24
Ninh Bình,2020,99.61
Ninh Bình,2021,99.61
Ninh Bình,2022,100.12
Ninh Bình,2023,94.74
Ninh Bình,2024,99.81
Hà Giang,2019,102.14
Hà Giang,2020,102.1
Hà Giang,2021,102.25
Hà Giang,2022,103.1
Hà Giang,2023,101.53
Hà Giang,2024,102.79
Cao Bằng,2019,100.39
Cao Bằng,2020,100.35
Cao Bằng,2021,100.35
Cao Bằng,2022,100.97
Cao Bằng,2023,96.91
