Vùng,Năm,Tỷ số giới tính
Đồng bằng sông Hồng,2019,115.5
Đồng bằng sông Hồng,2020,113.63
Đồng bằng sông Hồng,2021,110.58
Đồng bằng sông Hồng,2022,115.26
Đồng bằng sông Hồng,2023,113.2
Đồng bằng sông Hồng,2024,114.88
Trung du và miền núi phía Bắc,2019,114.16
Trung du và miền núi phía Bắc,2020,112.67
Trung du và miền núi phía Bắc,2021,114.09
Trung du và miền núi phía Bắc,2022,113.35
Trung du và miền núi phía Bắc,2023,115.3
Trung du và miền núi phía Bắc,2024,112.58
Bắc Trung Bộ và Duyên hải miền Trung,2019,109.38
Bắc Trung Bộ và Duyên hải miền Trung,2020,111.2
Bắc Trung Bộ và Duyên hải miền Trung,2021,111.7
Bắc Trung Bộ và Duyên hải miền Trung,2022,109.86
Bắc Trung Bộ và Duyên hải miền Trung,2023,110.2
Bắc Trung Bộ và Duyên hải miền Trung,2024,110.04
Tây Nguyên,2019,108.57
Tây Nguyên,2020,105.97
Tây Nguyên,2021,108
Tây Nguyên,2022,108.84
Tây Nguyên,2023,109.2
Tây Nguyên,2024,108.98
Đông Nam Bộ,2019,111.03
Đông Nam Bộ,2020,109.82
Đông Nam Bộ,2021,119.5
Đông Nam Bộ,2022,111.2
Đông Nam Bộ,2023,111.4
Đông Nam Bộ,2024,111.04
Đồng bằng sông Cửu Long,2019,106.9
Đồng bằng sông Cửu Long,2020,107.2
Đồng bằng sông Cửu Long,2021,107.94
Đồng bằng sông Cửu Long,2022,107.52
Đồng bằng sông Cửu Long,2023,107.9
Đồng bằng sông Cửu Long,2024,107.77
