Khu vực,Năm,Tỷ suất nhập cư,Tỷ suất xuất cư,Tỷ suất di cư thuần
An Giang,2019,1.2,15.6,-14.4
An Giang,2020,1.83,17.99,-16.16
An Giang,2021,2.93,25.79,-22.85
An Giang,2022,1.69,9.94,-8.25
An Giang,2023,1.21,8.47,-7.26
An Giang,2024,3.61,13.37,-9.76
Bà Rịa - Vũng Tàu,2019,7.6,5.8,1.8
Bà Rịa - Vũng Tàu,2020,7.48,4.28,3.21
Bà Rịa - Vũng Tàu,2021,4.85,3.93,0.92
Bà Rịa - Vũng Tàu,2022,3.42,4.32,-0.9
Bà Rịa - Vũng Tàu,2023,5.04,6.53,-1.49
Bà Rịa - Vũng Tàu,2024,5.76,6.68,-0.93
Bình Dương,2019,43.4,3.4,40.1
Bình Dương,2020,62.66,4.06,58.6
Bình Dương,2021,35.63,4.87,30.75
Bình Dương,2022,26.36,4.21,22.16
Bình Dương,2023,28.12,5.1,23.02
Bình Dương,2024,27.7,7,20.71
Bình Phước,2019,5,6.7,-1.7
Bình Phước,2020,4.28,6.3,-2.01
Bình Phước,2021,1.95,4.17,-2.22
Bình Phước,2022,3.62,2.37,1.25
Bình Phước,2023,5.89,3.59,2.3
Bình Phước,2024,7.29,7.93,-0.65
Bình Thuận,2019,1.4,5.6,-4.1
Bình Thuận,2020,1,10.34,-9.34
Bình Thuận,2021,0.56,5.91,-5.35
Bình Thuận,2022,0.49,4.17,-3.68
Bình Thuận,2023,0.51,6.57,-6.05
Bình Thuận,2024,1.05,7.81,-6.76
Bình Định,2019,1.4,8.3,-6.9
Bình Định,2020,0.82,10.51,-9.69
Bình Định,2021,2.33,7.04,-4.7
Bình Định,2022,1.62,7.79,-6.17
Bình Định,2023,1.29,5.75,-4.46
Bình Định,2024,2.74,7.47,-4.73
Bạc Liêu,2019,1.4,11.8,-10.4
Bạc Liêu,2020,3.26,16.61,-13.34
Bạc Liêu,2021,0.31,17.91,-17.61
Bạc Liêu,2022,0.52,6.66,-6.14
Bạc Liêu,2023,4.39,10.82,-6.44
Bạc Liêu,2024,3.23,9.83,-6.61
Bắc Giang,2019,2.5,5.5,-3.1
Bắc Giang,2020,3.5,4.47,-0.97
Bắc Giang,2021,4.16,3.53,0.63
Bắc Giang,2022,1.28,4.2,-2.91
Bắc Giang,2023,2,3.56,-1.57
Bắc Giang,2024,6.35,6.02,0.33
Bắc Kạn,2019,1.6,9.6,-8
Bắc Kạn,2020,0.95,4.99,-4.04
Bắc Kạn,2021,1.42,13.43,-12.01
Bắc Kạn,2022,1.51,4.4,-2.89
Bắc Kạn,2023,0.83,10.15,-9.33
Bắc Kạn,2024,3.85,9.76,-5.91
Bắc Ninh,2019,21.4,4.3,17.1
Bắc Ninh,2020,40.92,5.09,35.83
Bắc Ninh,2021,45.66,3.93,41.73
Bắc Ninh,2022,39.35,2.98,36.37
Bắc Ninh,2023,39.93,3.47,36.45
Bắc Ninh,2024,24.26,6.13,18.13
Bến Tre,2019,2.5,9.6,-7.1
Bến Tre,2020,3.24,13.52,-10.27
Bến Tre,2021,3.04,8.39,-5.35
Bến Tre,2022,3.68,4.66,-0.97
Bến Tre,2023,3.27,5.2,-1.94
Bến Tre,2024,4.25,7.66,-3.41
Cao Bằng,2019,1.8,7.5,-5.7
Cao Bằng,2020,2.19,11.52,-9.33
Cao Bằng,2021,2.5,7.29,-4.79
Cao Bằng,2022,2.74,7.55,-4.81
Cao Bằng,2023,2.12,9.72,-7.6
Cao Bằng,2024,3.84,8.23,-4.38
Cà Mau,2019,1.3,13.8,-12.5
Cà Mau,2020,0.68,15.83,-15.15
Cà Mau,2021,0.82,20.22,-19.39
Cà Mau,2022,0.57,12.89,-12.32
Cà Mau,2023,0.44,11.32,-10.88
Cà Mau,2024,1.38,12.36,-10.97
Cần Thơ,2019,9,7.2,1.8
Cần Thơ,2020,14.44,16.64,-2.2
Cần Thơ,2021,12.46,13.36,-0.91
Cần Thơ,2022,16.17,5.01,11.16
Cần Thơ,2023,8.24,3.97,4.27
Cần Thơ,2024,15.24,6.69,8.55
Gia Lai,2019,1.9,4.3,-2.4
Gia Lai,2020,1.42,6.31,-4.9
Gia Lai,2021,0.49,5.89,-5.4
Gia Lai,2022,0.54,3.99,-3.46
Gia Lai,2023,1.44,4.52,-3.08
Gia Lai,2024,2.09,5.2,-3.11
Huế,2019,3.1,7.4,-4.4
Huế,2020,1.96,7.35,-5.39
Huế,2021,6.02,3.88,2.14
Huế,2022,5.25,4.76,0.49
